,speed,mass_flow,T_oa,T_roo,P_tot
18316800.0,0.1,0.07500000000000001,292.04999999999995,293.15,0.8739606953892677
18317700.0,0.1,0.07500000000000001,291.8591822336,291.62446968654746,0.8739606953892677
18318600.0,0.1,0.07500000000000001,291.6499965184,291.2663334676626,0.8739606953892677
18319500.0,0.1,0.07500000000000001,291.44081702399995,291.0316294654999,0.8739606953892677
18320400.0,0.1,0.07500000000000001,291.25013070791107,290.81331694251656,0.8739606953892677
18321300.0,0.1,0.07500000000000001,291.075,290.605281457844,0.8739606953892677
18322200.0,0.1,0.07500000000000001,290.9,290.40453629972006,0.8739606953892677
18323100.0,0.1,0.07500000000000001,290.725,290.2105397657468,0.8739606953892677
18324000.0,0.1,0.07500000000000001,290.55,290.0232747036295,0.8739606953892677
18324900.0,0.1,0.07500000000000001,290.375,289.84263844797704,0.8739606953892677
18325800.0,0.1,0.07500000000000001,290.2,289.66807074646414,0.8739606953892677
18326700.0,0.1,0.07500000000000001,290.025,289.4991655141923,0.8739606953892677
18327600.0,0.1,0.07500000000000001,289.84999999999997,289.33557732045205,0.8739606953892677
18328500.0,0.1,0.07500000000000001,289.67499999999995,289.1768269502287,0.8739606953892677
18329400.0,0.1,0.07500000000000001,289.49999999999994,289.0226147899777,0.8739606953892677
18330300.0,0.1,0.07500000000000001,289.32499999999993,288.8725077720718,0.8739606953892677
18331200.0,0.1,0.07500000000000001,289.15225000190947,288.7264152515015,0.8739606953892677
18332100.0,0.1,0.07500000000000001,289.19074874785184,288.5917662379633,0.8739606953892677
18333000.0,0.1,0.07500000000000001,289.5168973037037,288.48994094156706,0.8739606953892677
18333900.0,0.1,0.07500000000000001,289.90870665955555,288.4216428013276,0.8739606953892677
18334800.0,0.1,0.07500000000000001,290.14750137257613,288.3876007306839,0.8739606953892677
18335700.0,0.1,0.07500000000000001,290.17839232,288.3700660354552,0.8739606953892677
18336600.0,0.1,0.07500000000000001,290.1338933048889,288.36028258956327,0.8739606953892677
18337500.0,0.1,0.07500000000000001,290.0974654577778,288.36004297212986,0.8739606953892677
18338400.0,0.12636825918974534,0.0833697002485342,290.15163333688895,288.3614788263471,1.1718752847872778
18339300.0,0.3922096923805064,0.26855130150154183,290.353769728,288.18693697981655,36.34560573853748
18340200.0,0.2227401819668788,0.2531262717837329,290.64996671999995,287.69849406487367,32.86411835074583
18341100.0,0.7302496237002465,0.4727349736475626,290.94618099199994,288.02898514777104,238.80509867906468
18342000.0,0.8211119864597722,0.590935692341479,291.1488626773333,287.32055635124215,312.07566107789626
18342900.0,0.291052081806047,0.2983146183822259,291.20781439999996,287.6775121188302,95.01331415513533
18343800.0,0.7243108875938444,0.2626629503751996,291.18118591999996,288.3275983678585,93.37428499704671
18344700.0,0.7007865702846249,0.5694665667191818,291.13878655999997,287.693002605984,305.0290597281743
18345600.0,0.1841310917975158,0.44361094099049725,291.1502913848889,288.07086612661175,163.45260520476046
18346500.0,0.3643001519463201,0.19674561002987362,291.24851872,290.43764661709565,28.064241510779038
18347400.0,0.31999578806427903,0.30954482650547743,291.431492352,289.4326201512556,45.9181521817391
18348300.0,0.3275290351453855,0.22433116553831942,291.72559020799997,290.2800410919456,18.31216877170167
18349200.0,0.3366837803361483,0.25736024084379905,292.15,290.44891526138883,25.768818963821456
18350100.0,0.6706326461170976,0.39293765248752044,292.94275891200004,290.6447999063247,135.79329569467637
18351000.0,0.335752445386729,0.26128131470853877,294.08762892799996,290.0107228701048,35.28739338455037
18351900.0,0.6727886544297653,0.3914646258806175,295.26414208,291.3660116596863,147.5871720141859
18352800.0,0.5679019761966222,0.43551259518728225,296.1477321054814,290.48574764506947,132.11641724624303
18353700.0,0.8097661902574177,0.5105192055805301,296.6881435733333,291.1626571355383,240.15805799815405
18354600.0,0.41178570175582613,0.3474763759018055,297.12918634666664,290.9032230040526,106.93150614601524
18355500.0,0.722466707857063,0.39506414042274607,297.5807776,292.500162933377,152.5343709904539
18356400.0,0.3647374132601313,0.32804866137974975,298.151461741037,291.6473760524573,109.2131614874873
18357300.0,0.2577661478975924,0.2316216602964537,298.87705983999996,294.0354171713483,18.81881577856134
18358200.0,0.31703082177408876,0.23384953721261678,299.67077439999997,294.7425962020435,19.39145257271164
18359100.0,0.31633733033236616,0.2380659644259145,300.45408255999996,295.14123563573435,20.39769196817794
18360000.0,0.17827308353005575,0.15868327823313716,301.14881471999996,295.98810996563026,8.526259018738005
18360900.0,0.6853680330480276,0.19505406088503435,301.74343999999996,297.4623247892568,63.04575169967026
18361800.0,0.8683526222332035,0.6518095369816843,302.27438399999994,293.0090192446986,418.78775547313444
18362700.0,0.7377505764070825,0.6356856902519759,302.74355199999997,293.041531307324,391.5309988863077
18363600.0,0.8573031995631488,0.6015742041745595,303.1492682192592,293.3521528867726,342.8083045404386
18364500.0,0.3356202065403643,0.6489312684510948,303.4858632533333,293.0423939911572,432.70932560659696
18365400.0,0.7360417532161037,0.3635126903095945,303.75362666666666,297.31413844822004,206.98354330686558
18366300.0,0.5293427569326539,0.40019413001163673,303.97027008,293.24073608955973,100.74287871394415
18367200.0,0.3296120327709919,0.32737993933722176,304.1503382992592,295.20350846182333,60.92191138984671
18368100.0,0.7883708175433572,0.5731825670242887,304.33739968000003,296.1740026855935,305.68290148403815
18369000.0,0.8465623724127214,0.6060902141662815,304.481664384,293.33747671933776,336.6165040573821
18369900.0,0.33769120587050877,0.28638103939540405,304.46109631999997,293.5285770808741,64.56676278171824
18370800.0,0.6601958593694967,0.35526178551064846,304.1487322879999,295.4792415504228,120.52772928499205
