,ene_cost,penalty,sum
0,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
1,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
2,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
3,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
4,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
5,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
6,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
7,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
8,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
9,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
10,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
11,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
12,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
13,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
14,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
15,-1.3983371126228283e-05,-0.0,-1.3983371126228283e-05
16,-1.6685680759683132e-05,-0.0,-1.6685680759683132e-05
17,-1.6193036724411664e-05,-0.0,-1.6193036724411664e-05
18,-1.2273201986619913e-15,-0.0,-1.2273201986619913e-15
19,-8.210490749830678e-15,-0.0,-8.210490749830678e-15
20,-8.810886921730668e-14,-0.0,-8.810886921730668e-14
21,-4.519654353138905e-15,-0.0,-4.519654353138905e-15
22,-3.1401535166767663e-16,-0.0,-3.1401535166767663e-16
23,-1.6309306205511214e-17,-0.0,-1.6309306205511214e-17
24,-6.24330404450743e-17,-0.0,-6.24330404450743e-17
25,-2.017717500542365e-15,-0.0,-2.017717500542365e-15
26,-3.937120139600154e-15,-0.0,-3.937120139600154e-15
27,-2.3510849960508107e-15,-0.0,-2.3510849960508107e-15
28,-2.7502005595048186e-16,-859.3762696823433,-859.3762696823433
29,-3.6321018943900267e-14,-812.0862149434288,-812.0862149434288
30,-1.9097186057758353e-15,-757.0287319866679,-757.0287319866679
31,-1.2270884539193412e-12,-693.6688857392596,-693.6688857392609
32,-7.833779180717882e-13,-618.1270427506547,-618.1270427506555
33,-1.285148364793917e-15,-391.86533849645,-391.86533849645
34,-2.920575534694507e-16,-213.31697989019176,-213.31697989019176
35,-7.393311635632838e-12,-37.35649254824693,-37.35649254825433
36,-2.0650543163357163e-09,-0.0,-2.0650543163357163e-09
37,-3.5653316059469455e-05,-0.0,-3.5653316059469455e-05
38,-0.0003768274542510249,-0.0,-0.0003768274542510249
39,-1.0654230725664673e-09,-194.05584852846687,-194.05584852953228
40,-3.558152516493705e-05,-0.0,-3.558152516493705e-05
41,-0.00038166098945304877,-0.0,-0.00038166098945304877
42,-0.0003827243565895479,-0.0,-0.0003827243565895479
43,-3.5574008666925794e-05,-0.0,-3.5574008666925794e-05
44,-0.0003816755339802061,-0.0,-0.0003816755339802061
45,-0.0003816590375522805,-0.0,-0.0003816590375522805
46,-0.0003819506327564404,-0.0,-0.0003819506327564404
47,-0.000381667770237829,-0.0,-0.000381667770237829
48,-0.0009739658385232471,-0.0,-0.0009739658385232471
49,-0.000973863404618537,-0.0,-0.000973863404618537
50,-0.0009734599410740176,-0.0,-0.0009734599410740176
51,-0.0009735910774135255,-30.019578315079798,-30.020551906157213
52,-0.0011085163090000594,-82.50581659343652,-82.50692510974552
53,-0.0011559391798318022,-91.73891216406673,-91.74006810324657
54,-0.0012485978290288425,-107.72276089223851,-107.72400949006754
55,-0.001243975035810318,-102.54989340432985,-102.55113737936566
56,-0.0012800020686497486,-108.93507000749878,-108.93635000956743
57,-0.0010770841979426246,-100.11864450236772,-100.11972158656566
58,-0.0010446865742034324,-138.51170555706176,-138.51275024363596
59,-0.0009736559694070317,-135.15821160276573,-135.15918525873514
60,-0.0009738479187127963,-130.75728155474735,-130.75825540266607
61,-0.0009723804696946505,-98.08510167397344,-98.08607405444313
62,-0.0009744181393402231,-56.79647083087502,-56.797445249014366
63,-0.0009706495237178256,-8.872308074899138,-8.873278724422855
64,-0.0009729508790098932,-0.0,-0.0009729508790098932
65,-0.0009684417286681157,-0.0,-0.0009684417286681157
66,-0.00097376880042343,-0.0,-0.00097376880042343
67,-0.0009661974396758006,-0.0,-0.0009661974396758006
68,-0.0009759132048805949,-0.0,-0.0009759132048805949
69,-9.12054473698317e-05,-0.0,-9.12054473698317e-05
