,ene_cost,penalty,sum
0,-1.2755102040816333,-0.0,-1.2755102040816333
1,-7.438775510204088,-0.0,-7.438775510204088
2,-2.2040816326530623,-0.0,-2.2040816326530623
3,-10.204081632653066,-0.0,-10.204081632653066
4,-0.0,-0.0,0.0
5,-0.6530612244897965,-0.0,-0.6530612244897965
6,-0.013983371126228283,-0.0,-0.013983371126228283
7,-0.2755102040816328,-0.0,-0.2755102040816328
8,-0.0,-0.0,0.0
9,-7.438775510204088,-0.0,-7.438775510204088
10,-5.224489795918372,-0.0,-5.224489795918372
11,-0.6530612244897965,-0.0,-0.6530612244897965
12,-0.6530612244897965,-0.0,-0.6530612244897965
13,-10.204081632653066,-0.0,-10.204081632653066
14,-1.2755102040816333,-0.0,-1.2755102040816333
15,-0.013983371126228283,-0.0,-0.013983371126228283
16,-5.224489795918372,-0.0,-5.224489795918372
17,-0.6530612244897965,-0.0,-0.6530612244897965
18,-5.224489795918372,-0.0,-5.224489795918372
19,-5.224489795918372,-0.0,-5.224489795918372
20,-5.224489795918372,-0.0,-5.224489795918372
21,-2.2040816326530623,-0.0,-2.2040816326530623
22,-0.0,-0.0,0.0
23,-0.08371126228269093,-0.0,-0.08371126228269093
24,-3.4999999999999996,-0.0,-3.4999999999999996
25,-3.4999999999999996,-0.0,-3.4999999999999996
26,-0.08371126228269093,-0.0,-0.08371126228269093
27,-0.6530612244897965,-734.2730134573799,-734.9260746818696
28,-2.2040816326530623,-1309.3610463990444,-1311.5651280316974
29,-0.08371126228269093,-1115.7848794035203,-1115.8685906658031
30,-0.6530612244897965,-1245.359667132277,-1246.012728356767
31,-1.2755102040816333,-1289.233816941828,-1290.5093271459098
32,-4.79043367346939,-1263.1521374060867,-1267.942571079556
33,-0.5988042091836737,-1016.4753370425501,-1017.0741412517337
34,-11.355102040816336,-1257.0354368751055,-1268.3905389159218
35,-16.167713647959197,-1261.1309867840191,-1277.2987004319782
36,-7.6070312499999995,-1135.360165343775,-1142.967196593775
37,-7.6070312499999995,-1083.8581380245728,-1091.4651692745729
38,-0.5988042091836737,-682.9621692654655,-683.5609734746491
39,-7.6070312499999995,-956.9262510460135,-964.5332822960135
40,-0.18194119661753608,-349.0211482112727,-349.2030894078902
41,-4.79043367346939,-739.9426290492102,-744.7330627226795
42,-2.7722417091836746,-592.8999711775987,-595.6722128867823
43,-7.6070312499999995,-722.5173842563663,-730.1244155063663
44,-0.5988042091836737,-191.3393461082478,-191.93815031743148
45,-1.419387755102042,-239.17610378440486,-240.5954915395069
46,-0.030391983182161783,-0.0,-0.030391983182161783
47,-11.355102040816336,-523.6151004876092,-534.9702025284255
48,-0.0,-319.96914296760224,-319.96914296760224
49,-1.5273596938775515,-0.0,-1.5273596938775515
50,-7.071109693877554,-0.0,-7.071109693877554
51,-56.568877551020435,-524.484378777845,-581.0532563288655
52,-3.620408163265309,-0.0,-3.620408163265309
53,-0.07752031368102805,-234.0274630327258,-234.1049833464068
54,-3.620408163265309,-0.0,-3.620408163265309
55,-0.4640743102796679,-14.576590064427819,-15.040664374707488
56,-19.403125,-132.33630621126622,-151.7394312112662
57,-56.568877551020435,-488.0469576336509,-544.6158351846714
58,-0.4640743102796679,-0.0,-0.4640743102796679
59,-0.0,-820.9925521707873,-820.9925521707873
60,-3.620408163265309,-0.0,-3.620408163265309
61,-7.071109693877554,-0.0,-7.071109693877554
62,-19.403125,-279.3249685429828,-298.7280935429828
63,-56.568877551020435,-627.9061170824775,-684.474994633498
64,-56.568877551020435,-708.5642382647507,-765.1331158157711
65,-1.5273596938775515,-0.0,-1.5273596938775515
66,-0.0,-191.9583067990061,-191.9583067990061
67,-0.0,-477.0939075896081,-477.0939075896081
68,-12.218877551020412,-344.9961058994859,-357.2149834505063
69,-3.620408163265309,-166.5162740374626,-170.1366822007279
70,-1.5273596938775515,-52.256123350821326,-53.783483044698876
71,-1.5273596938775515,-106.8434398040381,-108.37079949791566
72,-2.7722417091836746,-534.1724003723925,-536.9446420815761
73,-2.7722417091836746,-640.9930751559614,-643.765316865145
74,-22.177933673469397,-1080.8161003213513,-1102.9940339948207
75,-11.355102040816336,-0.0,-11.355102040816336
76,-0.0,-0.0,0.0
77,-1.419387755102042,-0.0,-1.419387755102042
78,-0.0,-0.0,0.0
79,-7.6070312499999995,-0.0,-7.6070312499999995
80,-22.177933673469397,-0.0,-22.177933673469397
81,-0.0,-0.0,0.0
82,-7.6070312499999995,-0.0,-7.6070312499999995
83,-2.7722417091836746,-0.0,-2.7722417091836746
84,-11.355102040816336,-0.0,-11.355102040816336
85,-1.419387755102042,-0.0,-1.419387755102042
86,-11.355102040816336,-0.0,-11.355102040816336
87,-0.0,-0.0,0.0
88,-0.0,-0.0,0.0
89,-0.0,-0.0,0.0
90,-2.7722417091836746,-0.0,-2.7722417091836746
91,-11.355102040816336,-0.0,-11.355102040816336
92,-0.6530612244897965,-0.0,-0.6530612244897965
93,-0.08371126228269093,-0.0,-0.08371126228269093
94,-1.2755102040816333,-0.0,-1.2755102040816333
95,-3.4999999999999996,-0.0,-3.4999999999999996
96,-10.204081632653066,-0.0,-10.204081632653066
97,-0.0,-0.0,0.0
98,-3.4999999999999996,-0.0,-3.4999999999999996
99,-7.438775510204088,-0.0,-7.438775510204088
100,-7.438775510204088,-0.0,-7.438775510204088
101,-3.4999999999999996,-0.0,-3.4999999999999996
102,-2.2040816326530623,-0.0,-2.2040816326530623
103,-7.438775510204088,-0.0,-7.438775510204088
104,-0.6530612244897965,-0.0,-0.6530612244897965
105,-10.204081632653066,-0.0,-10.204081632653066
106,-0.0,-0.0,0.0
107,-1.2755102040816333,-0.0,-1.2755102040816333
