,,0
ddqn,max,97.25599928386406
ppo,max,83.7688902418186
qrdqn,max,97.6301845951004
sac,max,92.77432634812625
mpc96,max,91.26960374302004
opt,max,100.0
rbc,max,54.17963324199573
ddqn,mean,91.18998264053113
ppo,mean,81.81377206033136
qrdqn,mean,91.57593250521299
sac,mean,87.69712623211916
mpc96,mean,91.26960374302004
opt,mean,100.0
rbc,mean,54.17963324199573
