,rewards,energy,ene_cost,total_temp_violation,max_temp_violation,delta_action,temp_violation_squared,delta_action_sqaured
base,-746.9397877794274,57.37203154523426,7.162639636278628,2.0009065168305966,2.324494511283717,1.841028565061952,13.759321344200727,1.6916502807363774
mpc,-577.4878129743257,53.64848503301869,5.6385709200511736,3.850023865196846,0.5973699130167915,3.650857552685089,4.225413250065214,0.9405307719143072
ddqn,-564.0193689139962,58.2318098194599,5.2705445072180215,12.012924820886482,0.9616600991401469,3.4450000000000003,21.344918192194147,1.5619999999999998
ppo,-613.7212016767251,46.919355565890726,5.781767082193149,18.25825653537038,0.9212705543465631,2.318647563457489,29.17106853819395,0.6373424919216291
qrdqn,-549.515132801252,63.99543150371704,5.112475885889831,9.68808703653535,0.8068251958358132,4.34,16.523544212268952,2.1744000000000003
sac,-580.707040845404,56.16428697286378,5.7150882202582585,3.4333044236465042,0.5894024931286594,2.0388214588165283,4.260397786795648,0.49378210327824057
