,PTot,TRoo,time
0,326.53061224489824,293.15,18316800.0
1,137.75510204081638,293.54133301094026,18317700.0
2,40.81632653061228,293.3183775080896,18318600.0
3,40.81632653061228,292.9879957847692,18319500.0
4,0.0,292.72933703340254,18320400.0
5,5.231953892668184,292.53997181130603,18321300.0
6,0.0,292.38510005592815,18322200.0
7,326.53061224489824,292.204953504554,18323100.0
8,326.53061224489824,292.4671492337341,18324000.0
9,326.53061224489824,292.4627419310855,18324900.0
10,0.0,292.3663717302693,18325800.0
11,40.81632653061228,291.800104577884,18326700.0
12,5.231953892668184,291.6395179243118,18327600.0
13,5.231953892668184,291.36428913413994,18328500.0
14,0.0,291.144802662589,18329400.0
15,137.75510204081638,290.98813937974364,18330300.0
16,0.0,290.9101439939084,18331200.0
17,5.231953892668184,290.68972358643197,18332100.0
18,40.81632653061228,290.5908433822499,18333000.0
19,5.231953892668184,290.50911422624364,18333900.0
20,137.75510204081638,290.461692924205,18334800.0
21,5.231953892668184,290.6802150269251,18335700.0
22,40.81632653061228,290.57106106525333,18336600.0
23,0.0,290.56275377374203,18337500.0
24,137.75510204081638,290.52061250277313,18338400.0
25,326.53061224489824,290.8229040874409,18339300.0
26,5.231953892668184,291.4265286660009,18340200.0
27,326.53061224489824,291.2448183972823,18341100.0
28,5.231953892668184,291.90019468098745,18342000.0
29,326.53061224489824,289.95378254827233,18342900.0
30,5.231953892668184,287.98373991393316,18343800.0
31,0.0,289.47735301472693,18344700.0
32,326.53061224489824,291.16664207496626,18345600.0
33,40.81632653061228,288.4978508974736,18346500.0
34,0.0,289.6774213788725,18347400.0
35,0.0,292.9411129254863,18348300.0
36,326.53061224489824,294.4468730844256,18349200.0
37,40.81632653061228,289.67855707100716,18350100.0
38,40.81632653061228,291.30374562570336,18351000.0
39,137.75510204081638,291.6955003411187,18351900.0
40,5.231953892668184,291.0618812686357,18352800.0
41,137.75510204081638,293.89435798162754,18353700.0
42,40.81632653061228,291.7515576141499,18354600.0
43,40.81632653061228,293.0996052632921,18355500.0
44,40.81632653061228,293.4949939723406,18356400.0
45,0.0,293.88661947297123,18357300.0
46,0.0,299.77896405854636,18358200.0
47,137.75510204081638,301.98194443617416,18359100.0
48,40.81632653061228,294.36780154647994,18360000.0
49,0.0,295.9026914833895,18360900.0
50,5.231953892668184,302.726897758147,18361800.0
51,0.0,299.71496921492667,18362700.0
52,0.0,304.8747060728142,18363600.0
53,326.53061224489824,306.77792941915925,18364500.0
54,5.231953892668184,295.21793843998546,18365400.0
55,5.231953892668184,300.7218134894046,18366300.0
56,137.75510204081638,301.08859249347216,18367200.0
57,326.53061224489824,296.3256903907696,18368100.0
58,137.75510204081638,294.545559088879,18369000.0
59,137.75510204081638,295.37397063752627,18369900.0
60,137.75510204081638,295.0483982700675,18370800.0
61,326.53061224489824,294.7092239552127,18371700.0
62,40.81632653061228,293.21768820251185,18372600.0
63,5.231953892668184,295.44482525711527,18373500.0
64,0.0,297.591945232045,18374400.0
65,40.81632653061228,301.9345004235307,18375300.0
66,5.231953892668184,295.74496800328416,18376200.0
67,40.81632653061228,297.6437812414232,18377100.0
68,137.75510204081638,295.28071571600555,18378000.0
69,40.81632653061228,293.4382850599361,18378900.0
70,0.0,294.37337339140464,18379800.0
71,137.75510204081638,299.64831861361176,18380700.0
72,326.53061224489824,292.8050726569635,18381600.0
73,40.81632653061228,291.1596909646866,18382500.0
74,326.53061224489824,292.4843005053284,18383400.0
75,137.75510204081638,290.30429301478443,18384300.0
76,326.53061224489824,290.5049152924988,18385200.0
