,PTot,TRoo
18316800.0,0.0,293.15
18317700.0,0.0,293.0184749547241
18318600.0,0.0,292.8987461309831
18319500.0,0.0,292.76826925299883
18320400.0,0.0,292.62367153235306
18321300.0,0.0,292.4692002401811
18322200.0,0.0,292.30916726705004
18323100.0,0.0,292.14616398426955
18324000.0,0.0,291.98218920323507
18324900.0,0.0,291.8182478594098
18325800.0,0.0,291.6546287247583
18326700.0,0.0,291.49129985656276
18327600.0,0.0,291.32813200021064
18328500.0,0.0,291.16497515377563
18329400.0,0.0,291.0016496519211
18330300.0,0.0,290.83805779275053
18331200.0,0.0,290.6742346518297
18332100.0,0.0,290.51998900585227
18333000.0,0.0,290.4063919909418
18333900.0,0.0,290.3378370476829
18334800.0,0.0,290.3070758276963
18335700.0,0.0,290.2956651107175
18336600.0,0.0,290.2954439076824
18337500.0,0.0,290.3068324724604
18338400.0,0.0,290.33720392519695
18339300.0,0.0,290.40060316682906
18340200.0,0.0,290.5072510910482
18341100.0,0.0,290.65814222932653
18342000.0,0.2913202317964226,290.86820874523005
18342900.0,0.8739606953892677,290.2989652271614
18343800.0,0.8739606953892677,290.1768166516381
18344700.0,0.8739606953892677,290.3344970320896
18345600.0,0.8739606953892677,290.5886340860031
18346500.0,0.8739606953892677,291.38243487222576
18347400.0,0.8739606953892677,291.96089308930794
18348300.0,0.8739606953892677,292.575236830661
18349200.0,0.8739606953892677,293.22961558268406
18350100.0,0.8739606953892677,293.91899155804475
18351000.0,0.8739606953892677,294.6453003705542
18351900.0,0.8739606953892677,295.38786716127885
18352800.0,0.8739606953892677,296.1358153365966
18353700.0,0.8739606953892677,296.8900971942173
18354600.0,2.141490006413244,297.1506851157265
18355500.0,4.0696469435944085,297.1506310642984
18356400.0,6.859016063475549,297.1506108935761
18357300.0,10.627977854880394,297.1505731820426
18358200.0,15.212386910738166,297.1505178188096
18359100.0,20.155368566045293,297.1504225256674
18360000.0,24.96866919874224,297.15036021414477
18360900.0,29.516304225229014,297.1502998488635
18361800.0,33.694568871894894,297.1502473056871
18362700.0,37.32465796579507,297.150193443017
18363600.0,40.18833884093876,297.1501364050605
18364500.0,41.96851725105307,297.15006236717807
18365400.0,42.35970268806453,297.149992821118
18366300.0,41.7056635207331,297.1499468410656
18367200.0,40.396689901377215,297.1499160710473
18368100.0,38.59570271966616,297.1498851505483
18369000.0,36.26714706616454,297.1498482240461
18369900.0,33.2996180370233,297.1497969177976
18370800.0,29.682221370198363,297.14974318961595
18371700.0,25.83869229517808,297.14972320692135
18372600.0,22.14954694448741,297.1497123490231
18373500.0,18.88447742738108,297.1497242543167
18374400.0,16.087142000224343,297.14973629322213
18375300.0,13.675555703592122,297.14974910658077
18376200.0,11.649931999897861,297.14976455419855
18377100.0,9.898722805337725,297.1497634962545
18378000.0,8.304363982575973,297.1497562549358
18378900.0,6.859961581295966,297.1497467954318
18379800.0,5.53064618226362,297.1497263140289
18380700.0,4.3227959757990115,297.1497048655167
18381600.0,2.518379624377072,297.1472223149528
18382500.0,1.3984028564950044,297.14959091242173
18383400.0,0.8739606953892677,297.14378143936904
18384300.0,0.8739606953892677,296.8578935614474
18385200.0,0.45778893568650114,296.601336573698
18386100.0,0.0,298.07311393455694
18387000.0,0.0,298.2143484056431
18387900.0,0.0,298.10764060333264
18388800.0,0.0,297.9313608591623
18389700.0,0.0,297.71605280746047
18390600.0,0.0,297.46427338754984
18391500.0,0.0,297.18641119476035
