,P_tot,T_oa,T_roo,mass_flow,speed
18316800.0,0.8739606953892677,292.04999999999995,293.15,0.07500000000000001,0.1
18317700.0,0.8739606953892677,291.85763888888886,292.68322676816706,0.07500000000000001,0.1
18318600.0,0.8739606953892677,291.6652777777777,292.21645353633414,0.07500000000000001,0.1
18319500.0,0.8739606953892677,291.4729166666666,291.7496803045012,0.07500000000000001,0.1
18320400.0,0.8739606953892677,291.2805555555555,291.28290707266825,0.07500000000000001,0.1
18321300.0,0.8739606953892677,291.0881944444444,290.81613384083533,0.07500000000000001,0.1
18322200.0,0.8739606953892677,290.9,290.4180859987738,0.07500000000000001,0.1
18323100.0,0.8739606953892677,290.72499999999997,290.23766855765507,0.07500000000000001,0.1
18324000.0,0.8739606953892677,290.54999999999995,290.0572511165363,0.07500000000000001,0.1
18324900.0,0.8739606953892677,290.37499999999994,289.8768336754175,0.07500000000000001,0.1
18325800.0,0.8739606953892677,290.2,289.69641623429874,0.07500000000000001,0.1
18326700.0,0.8739606953892677,290.025,289.51599879317996,0.07500000000000001,0.1
18327600.0,0.8739606953892677,289.8780247308642,289.35096256407877,0.07500000000000001,0.1
18328500.0,0.8739606953892677,289.76140958683123,289.20258931466327,0.07500000000000001,0.1
18329400.0,0.8739606953892677,289.64479444279834,289.0542160652478,0.07500000000000001,0.1
18330300.0,0.8739606953892677,289.5281792987654,288.9058428158323,0.07500000000000001,0.1
18331200.0,0.8739606953892677,289.4115641547325,288.7574695664168,0.07500000000000001,0.1
18332100.0,0.8739606953892677,289.2949490106996,288.6090963170013,0.07500000000000001,0.1
18333000.0,0.8739606953892677,289.3666223407407,288.5426318068062,0.07500000000000001,0.1
18333900.0,0.8739606953892677,289.51151896625515,288.5080206951969,0.07500000000000001,0.1
18334800.0,0.8739606953892677,289.65641559176953,288.4734095835875,0.07500000000000001,0.1
18335700.0,0.8739606953892677,289.80131221728396,288.4387984719782,0.07500000000000001,0.1
18336600.0,0.8739606953892677,289.94620884279834,288.40418736036884,0.07500000000000001,0.1
18337500.0,0.8739606953892677,290.0911054683128,288.3695762487595,0.07500000000000001,0.1
18338400.0,0.9518524905451381,290.28175111111113,288.45488541983536,0.07743841381829993,0.1032512184243999
18339300.0,1.0329897771658363,290.47430296296295,288.54519126935645,0.07997842821236234,0.10663790428314979
18340200.0,1.1141270637865348,290.66685481481477,288.63549711887754,0.08251844260642476,0.11002459014189968
18341100.0,1.1952643504072331,290.85940666666664,288.7258029683987,0.08505845700048717,0.11341127600064957
18342000.0,1.2764016370279314,291.05195851851846,288.81610881791977,0.0875984713945496,0.11679796185939946
18342900.0,17.085688279003584,291.21899777777776,288.8892540780586,0.10978409842827894,0.14637879790437192
18343800.0,95.80757234239904,291.28398666666664,288.89375698066857,0.21055217602067602,0.2807362346942347
18344700.0,174.52945640579452,291.3489755555555,288.8982598832785,0.31132025361307314,0.4150936714840975
18345600.0,253.25134046919,291.41396444444445,288.90276278588846,0.4120883312054702,0.5494511082739603
18346500.0,331.97322453258545,291.4789533333333,288.90726568849846,0.5128564087978673,0.683808545063823
18347400.0,410.69510859598097,291.5439422222222,288.9117685911084,0.6136244863902645,0.8181659818536858
18348300.0,444.8996121737156,291.94391614814816,289.07180128986363,0.6646523393070646,0.8862031190760861
18349200.0,422.44563149697285,292.7702346666666,289.42978100189475,0.6523744517276504,0.8698326023035339
18350100.0,399.99165082023006,293.59655318518514,289.7877607139259,0.6400965641482363,0.8534620855309818
18351000.0,377.5376701434873,294.42287170370366,290.145740425957,0.6278186765688222,0.8370915687584296
18351900.0,355.08368946674454,295.2491902222222,290.50372013798807,0.615540788989408,0.8207210519858774
18352800.0,332.62970879000176,296.0755087407407,290.8616998500192,0.603262901409994,0.8043505352133252
18353700.0,295.9629603791087,296.7407327407407,291.267751994084,0.5720968455369222,0.7627957940492297
18354600.0,252.6078506815568,297.3301475555555,291.69642645910585,0.5320422398785999,0.7093896531714665
18355500.0,209.25274098400487,297.9195623703704,292.1251009241277,0.4919876342202776,0.6559835122937034
18356400.0,165.89763128645293,298.5089771851852,292.5537753891496,0.4519330285619553,0.6025773714159404
18357300.0,122.542521588901,299.098392,292.9824498541715,0.41187842290363297,0.5491712305381773
18358200.0,79.18741189134909,299.6878068148148,293.41112431919333,0.3718238172453107,0.49576508966041427
18359100.0,112.27954325716297,300.2707066666667,293.3927847157659,0.4033827140209035,0.537843618694538
18360000.0,152.01926080239997,300.85304,293.3355743237777,0.44116887187770626,0.5882251625036085
18360900.0,191.75897834763697,301.43537333333336,293.27836393178944,0.4789550297345091,0.6386067063126788
18361800.0,231.49869589287397,302.0177066666667,293.22115353980126,0.5167411875913119,0.6889882501217492
18362700.0,271.23841343811097,302.60004,293.16394314781303,0.5545273454481147,0.7393697939308197
18363600.0,299.4863982881611,303.12666666666667,293.1514834288579,0.5819145522181077,0.7758860696241437
18364500.0,267.4027864884805,303.36083333333335,293.37396474332667,0.5547072657823495,0.7396096877097995
18365400.0,235.31917468879982,303.595,293.5964460577954,0.5274999793465913,0.7033333057954552
18366300.0,203.2355628891192,303.82916666666665,293.8189273722641,0.5002926929108331,0.6670569238811109
18367200.0,171.15195108943857,304.06333333333333,294.0414086867329,0.47308540647507497,0.6307805419667666
18368100.0,139.06833928975792,304.2975,294.2638900012016,0.44587812003931676,0.5945041600524223
18369000.0,120.41507695610052,304.30133333333333,294.3383609772939,0.43025065056745815,0.5736675340899442
18369900.0,121.90733882147795,303.95966666666664,294.19081644582167,0.43199290654144884,0.5759905420552651
