,P_tot,T_oa,T_roo,mass_flow,speed,T_roo_1,T_roo_2,T_roo_3,T_roo_4
18320400.0,0.8739606953892677,291.2805555555555,291.28290707266825,0.07500000000000001,0.1,291.74968030450117,292.2164535363341,292.68322676816706,293.15
18321300.0,0.8739606953892677,291.0881944444444,290.8161338408353,0.07500000000000001,0.1,291.28290707266825,291.74968030450117,292.2164535363341,292.68322676816706
18322200.0,0.8739606953892677,290.9,290.4180859987738,0.07500000000000001,0.1,290.8161338408353,291.28290707266825,291.74968030450117,292.2164535363341
18323100.0,0.8739606953892677,290.725,290.23766855765507,0.07500000000000001,0.1,290.4180859987738,290.8161338408353,291.28290707266825,291.74968030450117
18324000.0,0.8739606953892677,290.5499999999999,290.05725111653635,0.07500000000000001,0.1,290.23766855765507,290.4180859987738,290.8161338408353,291.28290707266825
18324900.0,0.8739606953892677,290.37499999999994,289.8768336754175,0.07500000000000001,0.1,290.05725111653635,290.23766855765507,290.4180859987738,290.8161338408353
18325800.0,0.8739606953892677,290.2,289.69641623429874,0.07500000000000001,0.1,289.8768336754175,290.05725111653635,290.23766855765507,290.4180859987738
18326700.0,0.8739606953892677,290.025,289.51599879318,0.07500000000000001,0.1,289.69641623429874,289.8768336754175,290.05725111653635,290.23766855765507
18327600.0,0.8739606953892677,289.8780247308642,289.3509625640788,0.07500000000000001,0.1,289.51599879318,289.69641623429874,289.8768336754175,290.05725111653635
18328500.0,0.8739606953892677,289.76140958683123,289.2025893146632,0.07500000000000001,0.1,289.3509625640788,289.51599879318,289.69641623429874,289.8768336754175
18329400.0,0.8739606953892677,289.6447944427984,289.05421606524783,0.07500000000000001,0.1,289.2025893146632,289.3509625640788,289.51599879318,289.69641623429874
18330300.0,0.8739606953892677,289.5281792987654,288.90584281583233,0.07500000000000001,0.1,289.05421606524783,289.2025893146632,289.3509625640788,289.51599879318
18331200.0,0.8739606953892677,289.4115641547325,288.75746956641683,0.07500000000000001,0.1,288.90584281583233,289.05421606524783,289.2025893146632,289.3509625640788
18332100.0,0.8739606953892677,289.2949490106996,288.60909631700133,0.07500000000000001,0.1,288.75746956641683,288.90584281583233,289.05421606524783,289.2025893146632
18333000.0,0.8739606953892677,289.3666223407407,288.5426318068062,0.07500000000000001,0.1,288.60909631700133,288.75746956641683,288.90584281583233,289.05421606524783
18333900.0,0.8739606953892677,289.5115189662552,288.5080206951969,0.07500000000000001,0.1,288.5426318068062,288.60909631700133,288.75746956641683,288.90584281583233
18334800.0,0.8739606953892677,289.6564155917696,288.4734095835875,0.07500000000000001,0.1,288.5080206951969,288.5426318068062,288.60909631700133,288.75746956641683
18335700.0,0.8739606953892677,289.801312217284,288.4387984719782,0.07500000000000001,0.1,288.4734095835875,288.5080206951969,288.5426318068062,288.60909631700133
18336600.0,0.8739606953892677,289.9462088427984,288.4041873603688,0.07500000000000001,0.1,288.4387984719782,288.4734095835875,288.5080206951969,288.5426318068062
18337500.0,0.8739606953892677,290.0911054683128,288.3695762487595,0.07500000000000001,0.1,288.4041873603688,288.4387984719782,288.4734095835875,288.5080206951969
18338400.0,0.951852490545138,290.2817511111112,288.45488541983536,0.07743841381829993,0.1032512184243999,288.3695762487595,288.4041873603688,288.4387984719782,288.4734095835875
