env_step,rew,time
1088,-851.644,321.6041
2432,-755.207,647.4047
3776,-954.2571,970.6293
5120,-874.4255,1297.2411
6464,-747.0253,1626.609
7808,-668.6312,1956.5898
9152,-652.3135,2284.2157
10496,-805.9241,2611.1165
11840,-730.4982,2935.782
13184,-702.3868,3257.0374
14528,-791.4222,3576.8808
15872,-722.9792,3898.4417
17216,-649.7164,4220.1669
18560,-732.8179,4541.4862
19904,-669.121,4864.3107
21248,-660.9427,5187.4138
22592,-569.1709,5509.5232
23936,-732.3735,5831.6949
25280,-611.8212,6153.5757
26624,-707.3287,6475.2337
27968,-538.0693,6797.4286
29312,-616.8353,7118.5825
30656,-586.2792,7441.4461
32000,-513.4301,7762.6717
33344,-518.1514,8084.9683
34688,-534.4915,8406.7993
36032,-474.9363,8727.251
37376,-406.1005,9047.3209
38720,-559.7434,9367.5666
40064,-457.7248,9688.9704
41408,-491.7245,10008.9262
42752,-455.9806,10329.6953
44096,-585.167,10648.6703
45440,-553.9959,10968.0255
46784,-482.6792,11284.9096
48128,-498.2415,11605.4025
49472,-471.9573,11925.36
50816,-442.082,12243.9024
52160,-393.2876,12562.6386
53504,-476.3044,12880.8075
54848,-401.7201,13199.6652
56192,-565.0768,13521.8668
57536,-476.9694,13840.2417
58880,-444.862,14160.2181
60224,-459.2724,14479.4683
61568,-466.9092,14807.6801
62912,-450.044,15125.5031
64256,-495.4083,15443.6089
65600,-421.7429,15761.3037
66944,-375.9766,16092.0694
68288,-470.1727,16418.3952
69632,-382.6426,16737.9899
70976,-366.1177,17057.6746
72320,-434.1487,17377.8156
73664,-464.9369,17705.7857
75008,-374.5482,18026.2816
76352,-284.5515,18348.079
77696,-319.0494,18665.8112
79040,-248.1344,18986.3872
80384,-366.3951,19306.9957
81728,-374.9858,19627.0812
83072,-256.825,19948.1765
84416,-322.4808,20268.7981
85760,-295.324,20590.2088
87104,-310.8159,20911.0423
88448,-304.317,21231.6057
89792,-259.3347,21553.1617
91136,-227.2192,21874.191
92480,-294.5799,22195.2114
93824,-340.2799,22514.5617
95168,-244.9791,22836.7501
96512,-162.643,23158.2491
97856,-258.5167,23479.3166
