env_step,rew,time
2688,-2506.7402,379.1141
5376,-2549.7556,753.0086
8064,-2530.0142,1128.1174
10752,-2412.8665,1505.558
13440,-2397.1064,1882.8072
16128,-2242.4863,2262.1402
18816,-2189.6223,2640.8178
21504,-2108.8391,3022.4861
24192,-1976.7791,3403.6078
26880,-1895.3197,3776.2727
29568,-1776.3298,4146.8948
32256,-1739.9781,4514.7183
34944,-1732.1956,4885.9314
37632,-1604.0054,5245.6725
40320,-1538.772,5604.1624
43008,-1564.4103,5965.7465
45696,-1528.6541,6329.5888
48384,-1504.3043,6694.5369
51072,-1421.3052,7063.0306
53760,-1414.0897,7434.2208
56448,-1401.1924,7807.2843
59136,-1332.7675,8176.7636
61824,-1292.8143,8542.8609
64512,-1297.8806,8908.7067
67200,-1295.1217,9283.734
69888,-1194.9435,9657.6866
72576,-1218.5188,10012.6261
75264,-1202.0897,10370.1526
77952,-1186.1792,10728.1372
80640,-1223.2184,11088.067
83328,-1175.9551,11450.312
86016,-1166.411,11814.3892
88704,-1133.2837,12182.676
91392,-1089.797,12551.8815
94080,-1126.1931,12919.0348
96768,-1090.8972,13287.5956
99456,-1042.2496,13656.1437
102144,-1083.7146,14031.0665
104832,-1112.663,14408.0191
107520,-1192.9987,14780.0475
110208,-1070.5258,15134.5996
112896,-1149.9912,15490.4274
115584,-1098.7976,15849.427
118272,-1115.9453,16210.1026
120960,-990.0667,16574.9369
123648,-989.3065,16938.3601
126336,-934.7332,17304.7801
129024,-937.5443,17676.6808
131712,-929.9952,18047.9286
134400,-933.9562,18419.5632
137088,-895.4042,18788.7556
139776,-956.4702,19162.4527
142464,-900.85,19515.3133
145152,-873.2242,19870.454
147840,-913.1766,20225.7109
150528,-912.0605,20583.2996
153216,-871.9836,20942.3148
155904,-827.1803,21302.1017
158592,-849.132,21667.2434
161280,-822.1366,22027.1425
163968,-811.288,22389.7601
166656,-813.1117,22749.9036
169344,-836.1744,23114.9493
172032,-853.0457,23481.5613
174720,-809.5207,23841.3031
177408,-883.1202,24193.997
180096,-796.2115,24544.4488
182784,-847.6979,24902.3747
185472,-846.402,25263.1457
188160,-840.4609,25622.3658
190848,-847.3424,25982.8344
193536,-814.61,26345.2821
196224,-798.3914,26715.6645
198912,-801.3544,27091.7039
201600,-786.2883,27465.818
204288,-781.4069,27840.1884
206976,-781.4973,28204.7657
209664,-774.9703,28620.502
212352,-824.67,28990.6603
215040,-770.2951,29358.4269
217728,-750.2186,29749.6468
220416,-780.5082,30115.3682
223104,-766.7954,30479.1601
225792,-760.0466,30856.0528
228480,-776.7784,31240.8379
231168,-757.0232,31623.0717
233856,-770.1237,32006.8207
236544,-766.6273,32421.7246
239232,-760.9792,32857.1074
241920,-747.4211,33296.7304
244608,-719.2848,33798.8096
247296,-732.3422,34237.6321
249984,-725.4489,34662.1741
252672,-730.6962,35103.3475
255360,-730.9975,35527.3229
258048,-743.4473,35963.9599
260736,-712.7516,36378.3711
263424,-765.6523,36806.8736
266112,-738.6802,37233.4128
268800,-726.912,37671.4463
271488,-755.7643,38114.2749
274176,-739.3217,38538.3127
276864,-757.1255,38961.1067
279552,-745.7767,39396.0901
282240,-717.8696,39794.0837
284928,-715.3093,40162.6048
287616,-725.1949,40569.5715
290304,-701.0198,40925.083
292992,-707.7552,41293.1299
295680,-690.7003,41667.4694
298368,-702.4696,42047.4126
301056,-679.5087,42431.2174
303744,-687.4879,42807.2656
306432,-684.5427,43187.6056
309120,-694.707,43570.6899
311808,-689.2408,43940.3821
314496,-692.2415,44295.8624
317184,-681.5676,44646.0186
319872,-680.3833,45004.2919
322560,-683.1246,45371.6789
325248,-680.142,45750.9636
327936,-683.5566,46121.9219
330624,-695.0293,46498.5334
333312,-698.5341,46885.4578
336000,-675.1805,47266.1422
338688,-675.8432,47652.7195
341376,-676.2361,48051.1352
344064,-685.7812,48444.1437
346752,-667.7938,48840.6919
349440,-669.811,49232.2869
352128,-676.697,49608.278
354816,-671.9403,49975.3255
357504,-693.2557,50360.2685
360192,-672.6555,50759.853
362880,-668.2224,51158.183
365568,-691.0871,51570.8255
368256,-692.5984,51980.8337
370944,-682.632,52414.7912
373632,-684.1332,52829.1015
376320,-678.094,53319.0241
379008,-684.4974,53744.1666
381696,-694.7974,54176.273
384384,-683.2538,54614.4197
387072,-679.1489,55001.3544
389760,-658.6838,55399.4388
392448,-673.6066,55811.3073
395136,-654.1777,56213.1537
397824,-666.9835,56611.5497
400512,-690.1774,57018.967
403200,-685.6735,57442.3549
405888,-664.1819,57856.948
408576,-659.1116,58296.0879
411264,-676.1202,58696.0011
413952,-677.8563,59120.7968
416640,-658.4987,59541.9868
419328,-656.1937,59945.0739
422016,-651.7976,60328.9963
424704,-647.6342,60721.9857
427392,-650.7773,61089.8038
430080,-642.4078,61453.0351
432768,-648.8864,61810.0929
435456,-641.5338,62181.3605
438144,-644.3062,62581.6485
440832,-639.7978,62961.6651
443520,-641.857,63352.3777
446208,-642.9034,63722.2359
448896,-663.1424,64089.3731
451584,-637.9751,64462.8908
454272,-630.9385,64855.202
456960,-629.9614,65236.8345
459648,-636.3704,65620.2421
462336,-643.8848,66004.3813
465024,-639.9262,66388.923
467712,-630.645,66779.4475
470400,-637.5923,67156.4734
473088,-638.1576,67570.3686
475776,-641.1718,67999.6161
478464,-639.2506,68369.6665
481152,-627.9455,68750.2104
483840,-647.4601,69147.1495
486528,-652.209,69547.2696
489216,-651.5721,69944.6167
491904,-656.311,70324.3261
494592,-651.0452,70716.1671
497280,-693.0967,71072.2396
499968,-639.5565,71478.3508
502656,-642.946,71869.8913
505344,-637.971,72261.1839
508032,-631.4611,72649.8699
510720,-641.844,73048.6439
513408,-628.6737,73448.5711
516096,-649.1042,73862.198
518784,-636.463,74284.0542
521472,-634.9591,74696.8578
524160,-650.8809,75107.5715
526848,-659.33,75505.7407
529536,-652.4462,75917.2767
532224,-648.41,76304.5556
534912,-647.1669,76693.6714
537600,-651.5242,77111.7677
540288,-644.7246,77477.4548
542976,-640.9437,77863.9466
545664,-637.5875,78273.7787
548352,-641.8875,78659.6027
551040,-639.2743,79072.6159
553728,-639.6401,79472.3878
556416,-652.2112,79884.4901
559104,-642.6423,80284.905
561792,-638.0997,80646.3827
564480,-640.6614,81022.6714
567168,-633.5247,81397.4322
569856,-628.3684,81777.4366
572544,-631.9948,82180.2239
575232,-623.7162,82539.4606
577920,-629.7834,82908.9772
580608,-618.1309,83252.5642
583296,-624.5644,83644.541
585984,-621.6224,84052.2292
588672,-618.1202,84433.581
591360,-619.3214,84786.4425
594048,-619.775,85160.2208
596736,-623.6729,85533.014
599424,-636.6721,85893.7416
602112,-620.9506,86259.311
604800,-629.3761,86608.5171
607488,-641.0245,86968.0399
610176,-614.273,87334.4159
612864,-621.991,87708.6863
615552,-621.2309,88087.0366
618240,-611.2277,88464.0193
620928,-612.0873,88847.5037
623616,-617.9293,89234.4079
626304,-615.5182,89631.632
628992,-618.4096,90027.6227
631680,-626.3145,90444.2056
634368,-624.1085,90842.8615
637056,-623.0989,91227.803
639744,-617.5515,91604.6852
642432,-616.8602,91986.6847
645120,-620.2773,92395.4904
647808,-622.382,92805.378
650496,-630.5066,93202.5216
653184,-618.9059,93619.7537
655872,-628.3989,94043.987
658560,-619.7048,94492.557
661248,-613.4527,94902.7351
663936,-613.0678,95359.3586
666624,-618.8324,95773.9579
669312,-618.4181,96191.3321
672000,-623.2639,96636.5507
674688,-618.3771,97070.0165
677376,-615.1672,97494.3619
680064,-616.7189,97904.3887
682752,-614.2241,98310.7893
685440,-611.3953,98767.5716
688128,-606.8563,99188.9483
690816,-607.3152,99598.6302
693504,-607.6904,100037.2566
696192,-610.4465,100427.2651
698880,-607.1384,100822.15
701568,-606.9346,101221.5742
704256,-604.9839,101625.965
706944,-607.9201,102026.2596
709632,-607.5185,102431.6838
712320,-604.3705,102820.8939
715008,-609.9109,103187.0946
717696,-616.2061,103550.2044
720384,-615.7736,103933.0216
723072,-612.3672,104319.4524
725760,-618.8832,104707.3861
728448,-617.5739,105115.103
731136,-614.9661,105510.4861
733824,-618.1943,105912.5814
736512,-624.882,106314.7788
739200,-621.6106,106705.4168
741888,-621.1182,107085.9469
744576,-617.2503,107464.8564
747264,-623.0738,107844.4355
749952,-625.3472,108249.6374
752640,-626.7291,108659.0993
755328,-641.2791,109067.2187
758016,-621.4637,109483.505
760704,-620.778,109904.9642
763392,-614.4015,110335.0427
766080,-615.0316,110745.4049
768768,-619.4307,111155.7955
771456,-612.3859,111571.9653
774144,-622.557,111955.5248
776832,-626.8354,112327.2026
779520,-617.0522,112738.5283
782208,-620.2908,113157.7627
784896,-618.2658,113570.9531
787584,-623.3072,113967.2602
790272,-609.7761,114356.8034
792960,-615.9915,114754.1817
795648,-617.8651,115164.2416
798336,-621.4505,115584.0046
801024,-618.3127,115993.6701
803712,-612.0736,116477.059
806400,-613.9012,116876.1908
809088,-613.961,117261.6978
811776,-618.073,117666.7927
814464,-616.9715,118083.8879
817152,-618.5153,118491.5281
819840,-618.5743,118902.9756
822528,-617.1345,119309.2033
825216,-609.6649,119731.4277
827904,-611.5524,120154.8801
830592,-606.9297,120567.2023
833280,-606.4365,121000.2289
835968,-608.506,121431.6713
838656,-611.4426,121831.7098
841344,-610.006,122230.9685
844032,-610.5286,122645.7263
846720,-614.2569,123033.7176
849408,-605.7625,123405.5693
852096,-608.7386,123786.4696
854784,-611.6272,124190.6855
857472,-610.9024,124594.6466
860160,-607.4506,124996.9269
862848,-604.3863,125368.1638
865536,-605.0994,125745.3662
868224,-607.4603,126138.2026
870912,-608.1786,126540.6637
873600,-601.3098,126970.4721
876288,-608.9105,127364.2269
878976,-607.6944,127778.1861
881664,-603.1951,128279.7177
884352,-604.0309,128739.481
887040,-605.7429,129109.8134
889728,-610.2607,129499.0598
892416,-614.0062,129911.9928
895104,-613.3904,130292.0845
897792,-620.0564,130692.5256
900480,-618.4331,131099.4569
903168,-619.7549,131522.1333
905856,-618.3124,131906.1766
908544,-619.1942,132318.909
911232,-616.0696,132702.8804
913920,-623.0444,133082.2898
916608,-619.1227,133502.1687
919296,-620.9037,133902.1855
921984,-612.1304,134267.8887
924672,-610.2073,134627.8853
927360,-614.9401,135001.7723
930048,-611.0628,135398.6582
932736,-613.3546,135803.0793
935424,-611.2255,136201.2696
938112,-609.1703,136589.5007
940800,-611.9935,137008.1878
943488,-610.0895,137402.0839
946176,-609.6641,137797.5472
948864,-609.902,138184.3182
951552,-605.3318,138550.7373
954240,-608.1522,138963.6137
956928,-608.9917,139350.274
959616,-614.3395,139709.1679
962304,-608.0444,140098.7453
964992,-603.9825,140511.5659
967680,-611.6972,140921.2048
970368,-612.3671,141299.3325
973056,-604.5745,141681.8228
975744,-606.3816,142078.565
978432,-603.0247,142588.9582
981120,-606.2307,142970.7363
983808,-604.1471,143373.7741
986496,-602.4335,143759.3758
989184,-606.494,144145.5002
991872,-602.8428,144505.0564
994560,-601.561,144870.4174
997248,-601.954,145235.6639
999936,-602.8727,145605.3321
1002624,-604.1498,145989.318
1005312,-608.348,146378.4458
1008000,-605.1644,146746.2645
1010688,-604.0349,147106.8284
1013376,-605.8062,147476.3373
1016064,-608.0955,147839.6408
1018752,-610.5425,148198.6985
1021440,-610.5744,148555.3939
1024128,-610.6981,148911.9163
1026816,-610.2061,149275.9946
1029504,-607.4214,149650.2353
1032192,-610.0822,150022.592
1034880,-611.7574,150410.5721
1037568,-608.8674,150786.2516
1040256,-605.7564,151175.0025
1042944,-600.6108,151571.767
1045632,-603.3478,151935.612
1048320,-602.2462,152282.9457
1051008,-605.4485,152620.2704
1053696,-603.3579,152967.2117
1056384,-606.3673,153347.5213
1059072,-607.5031,153724.2304
1061760,-607.7205,154114.8526
1064448,-604.9435,154496.7961
1067136,-607.2944,154876.7788
1069824,-607.059,155285.8289
1072512,-609.6543,155674.0787
1075200,-608.5684,156047.382
1077888,-603.7621,156409.5028
1080576,-605.4068,156794.1421
1083264,-604.7078,157182.2352
1085952,-604.937,157554.2958
1088640,-606.3578,157919.9261
1091328,-605.5084,158319.7082
1094016,-604.9049,158718.648
1096704,-604.8126,159122.6544
1099392,-607.0352,159530.1928
1102080,-604.6304,159915.8819
1104768,-603.3132,160306.1887
1107456,-603.9774,160699.9599
1110144,-609.6295,161095.52
1112832,-600.4619,161518.2654
1115520,-600.3782,161932.406
1118208,-600.849,162345.9856
1120896,-599.782,162723.9401
1123584,-602.2478,163108.1055
1126272,-601.3787,163493.2627
1128960,-603.9062,163884.782
1131648,-604.7518,164265.9735
1134336,-605.2452,164658.3354
1137024,-603.9052,165050.5155
1139712,-605.3578,165468.4696
1142400,-603.7683,165858.5661
1145088,-604.736,166249.7598
1147776,-602.8173,166631.1732
1150464,-605.6251,167009.5467
1153152,-606.1128,167392.8749
1155840,-603.9084,167767.9404
1158528,-603.3269,168163.5245
1161216,-600.7009,168554.7013
1163904,-601.0681,168956.828
1166592,-603.0005,169364.9793
1169280,-602.7304,169738.0468
