env_step,rew,time
1088,-2657.3752,1052.7338
2432,-2649.5,2293.8183
3776,-2897.8264,3518.8685
5120,-2604.1936,4739.8505
6464,-2610.2034,5999.6319
7808,-2632.6472,7249.0017
9152,-2554.8159,8503.5824
10496,-2501.0542,9756.8433
11840,-2479.053,10991.6243
13184,-2585.6228,12239.6126
14528,-2335.6782,13491.4931
15872,-2366.0205,14738.8586
17216,-2338.824,15988.8722
18560,-2463.4307,17248.0353
19904,-2572.3657,18511.5728
21248,-2549.0818,19749.9841
22592,-2391.8762,21007.3859
23936,-2555.2087,22255.9139
25280,-2203.7183,23499.503
26624,-2365.3718,24752.7838
27968,-2267.7842,26007.8829
29312,-2198.1228,27263.5736
30656,-2285.354,28537.0369
32000,-2341.2588,29789.0159
33344,-2221.9102,31042.3364
34688,-2264.6272,32287.8932
36032,-2225.8027,33545.8369
37376,-2251.3843,34800.6518
38720,-2069.584,36062.389
40064,-2212.584,37324.0967
41408,-2101.0371,38583.3743
42752,-2167.7034,39848.628
44096,-2194.6794,41118.9908
45440,-2082.3464,42361.4943
46784,-1992.9535,43605.5628
48128,-2039.3225,44864.1433
49472,-1996.4231,46110.9241
50816,-2127.0349,47368.173
52160,-1918.4738,48614.2347
53504,-1971.1375,49854.8391
54848,-2037.1322,51112.9267
56192,-2074.3726,52368.3868
57536,-1991.2382,53620.6527
58880,-2027.6559,54878.0181
60224,-1966.0499,56126.0344
61568,-1847.2523,57368.5432
62912,-1776.7025,58607.3139
64256,-1868.2864,59863.3013
65600,-1830.2013,61118.9486
66944,-1627.3646,62374.8405
68288,-1769.603,63627.7654
69632,-1671.0017,64893.7965
70976,-1693.3807,66146.0471
72320,-1594.0759,67397.2319
73664,-1696.0511,68636.7563
75008,-1594.2446,69885.2718
76352,-1527.7168,71124.6275
77696,-1673.4644,72365.2869
79040,-1524.0533,73619.8489
80384,-1593.1091,74883.6794
81728,-1607.6853,76139.1071
83072,-1339.1582,77387.5916
84416,-1623.363,78623.3759
85760,-1358.0826,79861.6149
87104,-1508.306,81112.7059
88448,-1300.6477,82374.1681
89792,-1351.4801,83641.9557
91136,-1488.0782,84888.2049
92480,-1262.7245,86129.5133
93824,-1316.5133,87391.0836
95168,-1297.4323,88632.0777
96512,-1345.8495,89890.3976
97856,-1203.3629,91152.3702
99200,-1203.5149,92412.704
100544,-1169.2629,93673.3044
101888,-1252.3877,94928.8844
103232,-1138.2061,96181.7175
104576,-1122.6434,97426.5998
105920,-1236.7596,98699.5001
107264,-1135.4507,99945.9064
108608,-1130.0658,101177.4517
109952,-1013.0366,102406.5682
111296,-1044.8716,103653.4655
112640,-1035.9541,104898.2982
113984,-978.4821,106116.5302
115328,-1070.101,107352.4735
116672,-970.8464,108585.1052
118016,-934.3204,109820.6806
119360,-987.009,111054.3246
120704,-880.2896,112300.9089
122048,-920.4512,113542.2259
123392,-884.7016,114808.1724
124736,-781.5271,116031.8415
126080,-792.6476,117257.4951
127424,-775.5912,118477.6476
128768,-761.8693,119713.4129
130112,-779.8882,120940.3383
131456,-689.0813,122156.992
132800,-696.2406,123370.7265
134144,-751.5344,124594.552
135488,-710.6792,125810.2516
136832,-682.2174,127033.6697
138176,-707.2338,128247.6602
139520,-698.1459,129466.6683
140864,-658.6309,130692.1126
142208,-634.3553,131908.3488
143552,-690.7368,133139.7116
144896,-660.2841,134367.7472
146240,-688.0765,135609.3984
147584,-692.1166,136821.7955
148928,-681.1569,138036.9909
150272,-659.5419,139245.0617
151616,-681.2266,140456.9696
152960,-582.2939,141675.445
154304,-679.8704,142898.2669
155648,-696.3874,144134.3033
156992,-676.2614,145360.1897
158336,-671.3571,146582.6081
159680,-626.5646,147816.3863
161024,-686.6169,149032.6349
162368,-629.34,150240.6434
163712,-719.6649,151459.621
165056,-657.1128,152667.0514
166400,-708.9143,153894.6896
167744,-649.5019,155116.7634
169088,-687.1326,156355.772
170432,-665.543,157577.796
171776,-619.8943,158786.7168
173120,-692.1309,160017.5164
174464,-609.7053,161232.3734
175808,-653.8913,162452.1659
177152,-648.9798,163651.99
178496,-619.2029,164871.4025
179840,-658.7035,166082.7587
181184,-736.1371,167296.1213
182528,-621.6185,168513.3762
183872,-581.1223,169729.9146
185216,-654.2382,170955.3532
186560,-647.2072,172187.7811
187904,-636.1973,173407.2594
189248,-647.9391,174629.0942
190592,-677.7048,175854.759
191936,-655.8187,177077.5656
193280,-701.576,178302.3479
194624,-727.283,179514.6001
195968,-657.4648,180734.1798
197312,-703.6955,181952.9209
198656,-722.9678,183178.1714
200000,-671.0015,184407.5447
201344,-668.6009,185620.5339
202688,-612.1001,186832.4313
204032,-639.9587,188035.7336
205376,-651.1482,189252.1961
206720,-652.2476,190473.5736
208064,-673.9376,191672.9715
209408,-637.6393,192894.3499
210752,-638.6829,194109.1507
212096,-638.3423,195331.7931
213440,-689.8574,196542.314
214784,-651.9288,197762.3258
216128,-675.1685,198987.5019
217472,-696.5195,200210.7413
218816,-698.7431,201428.6632
220160,-642.748,202639.8053
221504,-690.5656,203855.0061
