,P_tot,T_oa,T_roo,mass_flow,speed,T_roo_1,T_roo_2,T_roo_3,T_roo_4,T_roo_5,T_roo_6,T_roo_7,T_roo_8
20360.0,0.8739606953892678,290.4683333333333,289.938447304102,0.07499999999999997,0.10000000000000002,290.1225846388146,290.31344050451884,290.51103963969075,290.71553299486163,290.9288189921705,291.15452533848486,291.43234928457764,292.22568979891355
20361.0,0.8739606953892678,290.2933333333333,289.7606829210648,0.07499999999999997,0.10000000000000002,289.938447304102,290.1225846388146,290.31344050451884,290.51103963969075,290.71553299486163,290.9288189921705,291.15452533848486,291.43234928457764
20362.0,0.8739606953892678,290.11833333333334,289.5887886563063,0.07499999999999997,0.10000000000000002,289.7606829210648,289.938447304102,290.1225846388146,290.31344050451884,290.51103963969075,290.71553299486163,290.9288189921705,291.15452533848486
20363.0,0.8739606953892678,289.94333333333327,289.4224015439917,0.07499999999999997,0.10000000000000002,289.5887886563063,289.7606829210648,289.938447304102,290.1225846388146,290.31344050451884,290.51103963969075,290.71553299486163,290.9288189921705
20364.0,0.8739606953892678,289.7683333333333,289.2611040587111,0.07499999999999997,0.10000000000000002,289.4224015439917,289.5887886563063,289.7606829210648,289.938447304102,290.1225846388146,290.31344050451884,290.51103963969075,290.71553299486163
20365.0,0.8739606953892678,289.59333333333325,289.1045054470011,0.07499999999999997,0.10000000000000002,289.2611040587111,289.4224015439917,289.5887886563063,289.7606829210648,289.938447304102,290.1225846388146,290.31344050451884,290.51103963969075
20366.0,0.8739606953892678,289.4183333333333,288.9522323057753,0.07499999999999997,0.10000000000000002,289.1045054470011,289.2611040587111,289.4224015439917,289.5887886563063,289.7606829210648,289.938447304102,290.1225846388146,290.31344050451884
20367.0,0.8739606953892678,289.2434458334288,288.804008683857,0.07499999999999997,0.10000000000000002,288.9522323057753,289.1045054470011,289.2611040587111,289.4224015439917,289.5887886563063,289.7606829210648,289.938447304102,290.1225846388146
20368.0,0.8739606953892678,289.1387171381295,288.66160567904825,0.07499999999999997,0.10000000000000002,288.804008683857,288.9522323057753,289.1045054470011,289.2611040587111,289.4224015439917,289.5887886563063,289.7606829210648,289.938447304102
20369.0,0.8739606953892678,289.32905822106864,288.541435239616,0.07499999999999997,0.10000000000000002,288.66160567904825,288.804008683857,288.9522323057753,289.1045054470011,289.2611040587111,289.4224015439917,289.5887886563063,289.7606829210648
