env_step,rew,time
2688,-2597.0701,382.4609
5376,-2596.5833,760.2866
8064,-2439.593,1137.9242
10752,-2457.564,1517.7084
13440,-2447.9736,1897.4581
16128,-2275.0654,2272.2794
18816,-2263.5752,2651.2299
21504,-2175.3008,3026.5735
24192,-2140.1572,3397.9478
26880,-2074.1853,3769.8197
29568,-1923.8611,4142.7423
32256,-1896.3392,4514.6572
34944,-1918.3972,4888.005
37632,-1764.5671,5250.3926
40320,-1788.236,5610.796
43008,-1695.1321,5973.123
45696,-1696.3998,6338.0544
48384,-1575.8623,6705.9759
51072,-1553.4824,7074.3087
53760,-1510.5615,7447.1549
56448,-1571.0201,7821.5109
59136,-1467.139,8197.2991
61824,-1452.1947,8571.9513
64512,-1423.7969,8946.1951
67200,-1400.8872,9322.0775
69888,-1342.3528,9706.3145
72576,-1330.0453,10068.7316
75264,-1276.5693,10431.6755
77952,-1297.0046,10795.7566
80640,-1261.3884,11162.046
83328,-1255.8306,11532.5372
86016,-1233.6306,11901.6421
88704,-1284.6365,12275.9293
91392,-1258.6091,12651.9501
94080,-1283.0066,13024.4281
96768,-1319.236,13399.0978
99456,-1180.085,13768.3799
102144,-1233.6339,14139.1453
104832,-1146.2891,14510.6472
107520,-1221.1425,14889.859
110208,-1099.558,15250.0931
112896,-1096.5804,15610.8855
115584,-1162.8168,15970.9252
118272,-1097.8701,16334.8282
120960,-1096.6501,16705.4072
123648,-989.3764,17076.0489
126336,-1023.4047,17450.3152
129024,-1028.8496,17832.0723
131712,-1052.9238,18211.8992
134400,-955.2668,18586.3612
137088,-980.8566,18964.2681
139776,-917.1166,19345.1994
142464,-922.4888,19702.091
145152,-926.032,20058.9874
147840,-943.0573,20415.7235
150528,-881.6315,20776.0823
153216,-917.0554,21139.2739
155904,-880.5164,21505.7303
158592,-895.9916,21875.6074
161280,-857.8797,22248.5044
163968,-864.4533,22612.8285
166656,-892.1202,22985.5887
169344,-839.2767,23358.6722
172032,-848.7082,23725.1127
174720,-810.6835,24101.3506
177408,-851.2322,24454.1596
180096,-833.8547,24814.5101
182784,-870.5531,25175.0239
185472,-833.0704,25533.1473
188160,-838.0222,25896.9275
190848,-799.5766,26260.2699
193536,-876.903,26628.6264
196224,-847.045,26999.5897
198912,-799.2091,27368.9949
201600,-824.6014,27739.0931
204288,-802.8963,28103.0039
206976,-805.8397,28490.8194
209664,-804.6437,28902.0438
212352,-786.947,29269.7889
215040,-791.0676,29667.6427
217728,-779.2823,30033.9407
220416,-810.2891,30396.4377
223104,-805.619,30768.7987
225792,-817.8083,31147.8647
228480,-782.9366,31534.1167
231168,-753.2337,31903.0564
233856,-730.1207,32298.1218
236544,-731.557,32702.8447
239232,-737.9712,33129.299
241920,-736.0433,33587.6126
244608,-740.2919,34053.5935
247296,-741.7589,34469.4075
249984,-746.9098,34905.9734
252672,-735.9941,35314.2079
255360,-740.0634,35766.3141
258048,-729.4074,36226.7159
260736,-749.0523,36650.384
263424,-746.6032,37086.728
266112,-753.6705,37521.9306
268800,-734.5693,37953.1097
271488,-755.8747,38366.1542
274176,-773.3264,38786.249
276864,-796.6309,39212.2003
279552,-744.6806,39654.7417
282240,-772.908,40024.868
284928,-731.1978,40414.5189
287616,-738.8322,40789.4816
290304,-725.98,41147.9961
292992,-1055.764,41520.5351
295680,-730.5739,41893.2013
298368,-740.8018,42266.1008
301056,-744.3691,42640.5398
303744,-719.1438,43016.9085
306432,-708.5449,43397.5407
309120,-765.2349,43775.8233
311808,-732.8718,44130.7662
314496,-726.4684,44491.4845
317184,-713.9111,44848.7135
319872,-694.8309,45214.6813
322560,-727.6606,45586.7043
325248,-784.2647,45967.8637
327936,-789.5918,46341.1718
330624,-749.2863,46734.8627
333312,-738.3439,47125.5341
336000,-709.1263,47518.1036
338688,-754.2313,47919.0472
341376,-721.7071,48319.5369
344064,-709.1531,48725.8943
346752,-694.1923,49145.1839
349440,-702.7243,49552.0692
352128,-715.0464,49918.5814
354816,-706.5149,50308.8647
357504,-726.7006,50708.4765
360192,-727.004,51127.0991
362880,-706.8296,51547.4523
365568,-716.2032,51994.5701
368256,-704.3215,52433.0552
370944,-719.1509,52847.8968
373632,-693.6676,53337.6354
376320,-681.1129,53761.8617
379008,-661.4651,54204.0985
381696,-675.9711,54645.5891
384384,-672.7269,55071.6739
387072,-671.9588,55474.0204
389760,-674.3661,55899.7522
392448,-663.9143,56287.7928
395136,-662.8036,56704.5808
397824,-668.3182,57114.8888
400512,-663.3488,57534.9581
403200,-673.2616,57959.9806
405888,-667.9151,58395.0992
408576,-666.5883,58803.3034
411264,-672.5586,59213.7958
413952,-662.3397,59620.3333
416640,-650.4016,60027.2731
419328,-662.6397,60458.9963
422016,-673.2837,60832.1282
424704,-691.8192,61209.5703
427392,-701.1357,61571.7202
430080,-680.2628,61944.1475
432768,-685.6649,62340.4469
435456,-671.4107,62751.524
438144,-662.8848,63150.5706
440832,-663.1456,63553.9176
443520,-661.4434,63929.8531
446208,-647.274,64318.0802
448896,-650.7023,64713.4967
451584,-651.7388,65117.5342
454272,-649.7031,65514.6133
456960,-649.4173,65892.5794
459648,-648.1914,66275.2059
462336,-648.438,66661.6102
465024,-644.6995,67032.1783
467712,-643.6127,67406.1274
470400,-639.0725,67865.6134
473088,-657.3419,68225.8727
475776,-648.9667,68589.8154
478464,-646.9213,68969.2927
481152,-640.4813,69364.5458
483840,-639.4886,69759.4062
486528,-643.1985,70158.6605
489216,-648.0046,70568.0219
491904,-652.6589,70947.3639
494592,-649.0287,71316.1749
497280,-666.8928,71737.9257
499968,-642.434,72147.2421
502656,-653.9589,72535.4901
505344,-638.848,72939.2043
508032,-639.1799,73352.3656
