,PCoo.y,TRoo
18316800.0,0.0,293.15
18317700.0,0.0,293.01847352983697
18318600.0,0.0,292.8987677665245
18319500.0,0.0,292.7682100907125
18320400.0,0.0,292.62350028929427
18321300.0,0.0,292.46899814172923
18322200.0,0.0,292.30891989210085
18323100.0,0.0,292.1458967569122
18324000.0,0.0,291.9819215050485
18324900.0,0.0,291.8179891723616
18325800.0,0.0,291.6543825462336
18326700.0,0.0,291.49106653138745
18327600.0,0.0,291.32791071558387
18328500.0,0.0,291.164764854963
18329400.0,0.0,291.0014493608922
18330300.0,0.0,290.8378666299102
18331200.0,0.0,290.67405178047204
18332100.0,0.0,290.5198115211149
18333000.0,0.0,290.40622965228175
18333900.0,0.0,290.33766154821956
18334800.0,0.0,290.3069309352198
18335700.0,0.0,290.2954985471815
18336600.0,0.0,290.29530021872193
18337500.0,0.0,290.3066653436849
18338400.0,0.0,290.33703145561174
18339300.0,0.0,290.4004012091658
18340200.0,0.0,290.50697788121533
18341100.0,0.0,290.6575905856554
18342000.0,90.08987520244992,290.868234737416
18342900.0,973.2295504473022,290.3352742799838
18343800.0,1431.2939833361156,290.2179245989405
18344700.0,1605.3694097643229,290.36606058957955
18345600.0,1654.2647235169748,290.62534414070217
18346500.0,1679.7376567801189,291.4393718557176
18347400.0,1704.0036659450886,292.033119138058
18348300.0,1732.919646301214,292.65960377966866
18349200.0,1450.4113311754577,293.3072496713981
18350100.0,546.6558061683257,293.8990772442694
18351000.0,368.44349628125343,294.6480138063252
18351900.0,329.1738622572624,295.39821185362865
18352800.0,314.9076028997343,296.1474298541791
18353700.0,308.77333680985157,296.9017838460639
18354600.0,358.8385898709157,297.15068355092063
18355500.0,412.6516280796424,297.1506297828854
18356400.0,471.94002905493295,297.15060961212606
18357300.0,539.6597513538297,297.15057205277174
18358200.0,614.5439296283243,297.15051674706825
18359100.0,691.821881455892,297.1504219120007
18360000.0,765.0201026134362,297.15035890821053
18360900.0,832.5668730400869,297.15029901077503
18361800.0,896.0171115229688,297.1502465603742
18362700.0,953.5506456751885,297.1501926510348
18363600.0,1001.6974981372897,297.1501356192683
18364500.0,1035.1513718617784,297.1500610950352
18365400.0,1050.1091349325318,297.1499919408307
18366300.0,1050.8995104649964,297.14994625331656
18367200.0,1042.6203746372953,297.14991569358875
18368100.0,1029.646266071708,297.14988520330814
18369000.0,1010.1462431607321,297.14984776734076
18369900.0,975.4287491865564,297.1497961569354
18370800.0,918.3496643449084,297.14974251215494
18371700.0,849.3911754600081,297.1497232975859
18372600.0,784.7759016322888,297.1497124174631
18373500.0,727.1484045096126,297.14972458229386
18374400.0,675.3265754446198,297.14973642722435
18375300.0,627.2452995469482,297.1497491759847
18376200.0,583.6213227119496,297.14976471886814
18377100.0,544.0140964694094,297.14976352117554
18378000.0,507.4195183990071,297.1497563897536
18378900.0,473.97556867033035,297.1497469085357
18379800.0,442.43581908218033,297.14972638365197
18380700.0,412.32006694017247,297.1497049215654
18381600.0,362.659139903683,297.14720545823633
18382500.0,326.9794832671289,297.14959148746084
18383400.0,304.04168258871505,297.1436670099453
18384300.0,300.4892581736571,296.85763498707524
18385200.0,155.12645806810562,296.6011504069499
18386100.0,0.0,298.0738761460942
18387000.0,0.0,298.2149788931795
18387900.0,0.0,298.10771418860753
18388800.0,0.0,297.93133041217
18389700.0,0.0,297.7160023168744
18390600.0,0.0,297.4641802644716
18391500.0,0.0,297.1863150063843
18392400.0,0.0,296.90112322552284
18393300.0,0.0,296.6279506669453
18394200.0,0.0,296.3664557664005
18395100.0,0.0,296.11091273895335
18396000.0,0.0,295.856353502435
18396900.0,0.0,295.5990483074958
18397800.0,0.0,295.33977572342826
18398700.0,0.0,295.0797110736382
18399600.0,0.0,294.81950126407844
18400500.0,0.0,294.5580113403822
18401400.0,0.0,294.2919677979412
18402300.0,0.0,294.0260656892225
18403200.0,0.0,293.7711302872643
18404100.0,0.0,293.53682878185924
18405000.0,0.0,293.3172900238828
18405900.0,0.0,293.10740342916716
18406800.0,0.0,292.90591152048677
18407700.0,0.0,292.71245115714487
18408600.0,0.0,292.5257702212556
18409500.0,0.0,292.3448366552342
18410400.0,0.0,292.1696482032697
18411300.0,0.0,292.0014918933522
18412200.0,0.0,291.84088320679564
18413100.0,0.0,291.6875964675925
18414000.0,0.0,291.5414499731544
18414900.0,0.0,291.3972851596763
18415800.0,0.0,291.2402629690703
18416700.0,0.0,291.06964934611227
18417600.0,0.0,290.89532929200067
18418500.0,0.0,290.72929670763875
18419400.0,0.0,290.57106576622755
18420300.0,0.0,290.4232112087382
18421200.0,0.0,290.2954740954908
18422100.0,0.0,290.20136621381715
18423000.0,0.0,290.1454772900944
18423900.0,0.0,290.13686568687547
18424800.0,0.0,290.1931652014545
18425700.0,0.0,290.32812062300735
18426600.0,0.0,290.54218697184615
18427500.0,0.0,290.83222543294835
18428400.0,185.55901541101412,291.11639627566706
18429300.0,990.6779852800173,290.512619864565
18430200.0,1465.9082715799336,290.6862713468705
18431100.0,1677.830726160516,290.98887357040525
18432000.0,1761.3136068149754,291.3832257774264
18432900.0,1816.9284960583666,292.24189647951613
18433800.0,1865.5554446263473,292.84982728108076
18434700.0,1130.552398495281,293.39174400453817
18435600.0,460.43028042835573,293.98399492224485
18436500.0,329.2884012107296,294.6901827097707
18437400.0,299.62385802374297,295.416762915615
18438300.0,296.62200988976156,296.1633931550023
