,PCoo.y,TRoo
18316800.0,0.0,293.15
18317700.0,0.0,293.0184592389215
18318600.0,0.0,292.89877779517536
18319500.0,0.0,292.76824095268654
18320400.0,0.0,292.62351258415066
18321300.0,0.0,292.46900360196156
18322200.0,0.0,292.30892451315015
18323100.0,0.0,292.14589726989044
18324000.0,0.0,291.98192169391666
18324900.0,0.0,291.8179896281538
18325800.0,0.0,291.65438245228796
18326700.0,0.0,291.4910668358411
18327600.0,0.0,291.32791112151017
18328500.0,0.0,291.16476554263096
18329400.0,0.0,291.0014499943352
18330300.0,0.0,290.83786741057366
18331200.0,0.0,290.6740505855621
18332100.0,0.0,290.51971200083176
18333000.0,0.0,290.4062053690871
18333900.0,0.0,290.3375820230068
18334800.0,0.0,290.30693024280424
18335700.0,0.0,290.29551118073675
18336600.0,0.0,290.2953091319462
18337500.0,0.0,290.3066736302984
18338400.0,0.0,290.33698603697036
18339300.0,0.0,290.40042664012776
18340200.0,0.0,290.5068495512475
18341100.0,0.0,290.65745594451954
18342000.0,0.0,290.8525749115263
18342900.0,977.8850708690084,290.31480657545137
18343800.0,1434.1938602867417,290.19778712180886
18344700.0,1606.399008402094,290.3507324228584
18345600.0,1653.3084948705516,290.6090101997319
18346500.0,1679.0435586065091,291.43546520169366
18347400.0,1703.5185137439687,292.0294161162463
18348300.0,1732.5613054321655,292.65614735296583
18349200.0,1441.8860412552756,293.30675077838555
18350100.0,545.5301939219878,293.92327182669504
18351000.0,368.3530986981268,294.65718715436657
18351900.0,329.1937444484004,295.4019689327307
18352800.0,315.225484411516,296.1498351624304
18353700.0,308.97569733079007,296.90365084488843
18354600.0,313.2217388872748,297.66656043644764
18355500.0,441.04302408775476,297.3156325126853
18356400.0,548.3526626432533,296.43011741252167
18357300.0,570.5266160938023,296.7568234835328
18358200.0,800.8913391172631,295.6431396054869
18359100.0,962.1244219752308,295.1502230534669
18360000.0,1010.7163770677508,295.2162555570638
18360900.0,464.7835411497636,299.15066837623124
18361800.0,664.1329813055634,298.4279143656669
18362700.0,646.1794175713662,299.150421601551
18363600.0,809.2383722716914,298.5498785213498
18364500.0,1215.094232705805,296.75443695528804
18365400.0,782.2485461426346,298.80216132138816
18366300.0,790.7803226228635,299.03220597711135
18367200.0,913.8474703948614,298.4352123752489
18368100.0,1841.1047871726337,295.14921329750985
18369000.0,1598.2003420624626,295.14928999954515
18369900.0,597.8874383738622,299.15022086694205
18370800.0,739.0917133918158,298.3987120160053
18371700.0,813.2143531370634,297.67556279831643
18372600.0,561.8872691250422,299.149977145559
18373500.0,1247.7469712502714,295.14909693019615
18374400.0,1029.693266620453,295.1492148298941
18375300.0,390.91047521034113,299.1500959547882
18376200.0,879.3694991284923,295.1573798559093
18377100.0,444.21918567061664,297.80967496940957
18378000.0,352.8100358521512,299.15004437951876
18378900.0,418.00414049779755,298.11539176360134
18379800.0,337.9948943204859,299.14982845163024
18380700.0,480.21818247906265,296.74645060950536
18381600.0,448.070623785464,296.428460742503
