,speed,mass_flow,T_oa,T_roo,P_tot,T_roo_1
18361800.0,0.8683526222332035,0.6518095369816843,302.27438399999994,293.00901924469866,418.7877554731344,297.4623247892568
18362700.0,0.7377505764070825,0.6356856902519759,302.743552,293.04153130732396,391.53099888630766,293.00901924469866
18363600.0,0.8573031995631488,0.6015742041745595,303.14926821925917,293.3521528867726,342.8083045404386,293.04153130732396
18364500.0,0.3356202065403643,0.6489312684510948,303.4858632533333,293.0423939911572,432.7093256065969,293.3521528867726
18365400.0,0.7360417532161037,0.3635126903095945,303.75362666666666,297.31413844822004,206.98354330686558,293.0423939911572
18366300.0,0.5293427569326539,0.4001941300116367,303.97027008,293.24073608955973,100.74287871394415,297.31413844822004
18367200.0,0.3296120327709919,0.32737993933722176,304.1503382992592,295.20350846182333,60.921911389846706,293.24073608955973
18368100.0,0.7883708175433572,0.5731825670242887,304.3373996800001,296.1740026855935,305.6829014840381,295.20350846182333
18369000.0,0.8465623724127214,0.6060902141662815,304.481664384,293.33747671933776,336.61650405738214,296.1740026855935
18369900.0,0.3376912058705088,0.28638103939540405,304.46109632,293.52857708087413,64.56676278171824,293.33747671933776
18370800.0,0.6601958593694967,0.3552617855106485,304.1487322879999,295.47924155042284,120.52772928499205,293.52857708087413
18371700.0,0.9395228693286792,0.6873771255948664,303.65,292.87875177874844,496.8190571968247,295.47924155042284
18372600.0,0.3876573518075477,0.5574168319090205,303.15,292.9708691838503,390.99671314395533,292.87875177874844
18373500.0,0.42830168456023376,0.29743329001603325,302.65,295.99008829724966,47.083035345871956,292.9708691838503
18374400.0,0.7013454717489218,0.3914778063230945,302.15,294.09330415546026,107.3976787278207,295.99008829724966
18375300.0,0.774475532797199,0.5762392068009119,301.65,292.65448150260295,289.4224494925881,294.09330415546026
18376200.0,0.26830888876280995,0.4967308362106167,301.15,292.76257415504864,247.94837629586087,292.65448150260295
18377100.0,0.04062347227720976,0.044117675445700964,300.65,297.3725502884325,0.3575108668792019,292.76257415504864
18378000.0,0.3677880162234433,0.06568726511556043,300.15,298.6300757735715,8.3563243437343,297.3725502884325
18378900.0,0.5322748429850521,0.3876578356764489,299.65,293.63886820176845,88.63058057660093,298.6300757735715
18379800.0,0.4668071689467084,0.3986671549978811,299.15,293.0682290322913,96.28701848216484,293.63886820176845
18380700.0,0.6779293204277942,0.4415699819615443,298.65,292.9045631252709,153.04650830250657,293.0682290322913
18381600.0,0.2586066717829412,0.5431562080709889,298.15,291.7405526181755,242.2391838753544,292.9045631252709
18382500.0,0.3716873097385833,0.175545606305911,297.65,295.06472974577645,25.839046600896435,291.7405526181755
18383400.0,0.554890433882102,0.4122423504299521,297.15,292.23073933121435,106.59895932464364,295.06472974577645
18384300.0,0.6557026565839956,0.4540490281470238,296.65,291.18502703249413,145.49470364018788,292.23073933121435
18385200.0,0.2692974686071772,0.2231951363384824,296.15014019589415,290.63663400967613,30.67244926818693,291.18502703249413
18386100.0,0.1,0.14710818107264692,295.78329849904765,292.0070271004332,6.735855203361488,290.63663400967613
18387000.0,0.1,0.07500000000000001,295.58476339809516,292.895995049136,0.8739606953892677,292.0070271004332
18387900.0,0.1,0.07500000000000001,295.41911405714285,292.82385202203164,0.8739606953892677,292.895995049136
18388800.0,0.1,0.07500000000000001,295.1483104948148,292.6485369414465,0.8739606953892677,292.82385202203164
18389700.0,0.1,0.07500000000000001,294.6798831908572,292.45191105360414,0.8739606953892677,292.6485369414465
18390600.0,0.1,0.07500000000000001,294.1010492038095,292.23945143027333,0.8739606953892677,292.45191105360414
18391500.0,0.1,0.07500000000000001,293.546735536762,292.01653348435804,0.8739606953892677,292.23945143027333
18392400.0,0.1,0.07500000000000001,293.15196500479993,291.7934204723238,0.8739606953892677,292.01653348435804
18393300.0,0.1,0.07500000000000001,292.9079711786666,291.5796629259726,0.8739606953892677,291.7934204723238
18394200.0,0.1,0.07500000000000001,292.7000072277333,291.3746739411426,0.8739606953892677,291.5796629259726
18395100.0,0.1,0.07500000000000001,292.49206988799995,291.17668146297933,0.8739606953892677,291.3746739411426
18396000.0,0.1,0.07500000000000001,292.24959148088885,290.9837191669881,0.8739606953892677,291.17668146297933
18396900.0,0.1,0.07500000000000001,291.9765593173333,290.79346579741656,0.8739606953892677,290.9837191669881
