env_step,rew,time
283328,-687.2056,522103.5288
284672,-645.1133,524668.2326
286016,-651.7148,527247.6049
287360,-705.3674,529803.5738
288704,-746.2041,532252.6447
290048,-683.1367,534824.2237
291392,-676.8406,537378.0051
292736,-657.1845,539857.1675
294080,-726.9177,542283.4678
295424,-679.5585,544710.0545
296768,-691.4785,547110.8147
298112,-681.6722,549474.3702
299456,-647.3342,551937.0593
300800,-647.9998,554333.2511
302144,-666.6418,556691.4694
303488,-628.7043,559124.054
304832,-644.3087,561664.56
