,speed,mass_flow,T_oa,T_sa,T_roo,P_tot
17376.0,0.0,0.0,290.509844652503,287.15,293.0359727750318,0.0
17377.0,0.0,0.0,290.4090334803968,287.15,292.8859686008321,0.0
17378.0,0.0,0.0,290.29824577222655,287.15,292.8146015668513,0.0
17379.0,0.0,0.0,290.19618608926805,287.15,292.7709286564792,0.0
17380.0,0.0,0.0,290.11502115945143,287.15,292.74073027032983,0.0
17381.0,0.0,0.0,290.03999999999996,287.15,292.7121978397085,0.0
17382.0,0.0,0.0,289.965,287.15,292.6833567038624,0.0
17383.0,0.0,0.0,289.89,287.15,292.6553335197407,0.0
17384.0,0.0,0.0,289.81499999999994,287.15,292.62835680949854,0.0
17385.0,0.0,0.0,289.73999999999995,287.15,292.6019601382268,0.0
17386.0,0.0,0.0,289.66499999999996,287.15,292.57556152098067,0.0
17387.0,0.0,0.0,289.5899952448933,287.15,292.54882291087836,0.0
17388.0,0.0,0.0,289.5102124348087,287.15,292.5214861179468,0.0
17389.0,0.0,0.0,289.4146406055526,287.15,292.4924964499412,0.0
17390.0,0.0,0.0,289.32281567493635,287.15,292.46183321830415,0.0
17391.0,0.0,0.0,289.26289986779375,287.15,292.43244297051416,0.0
17392.0,0.0,0.0,289.25003123379605,287.15,292.40868121534163,0.0
17393.0,0.0,0.0,289.25,287.15,292.3913606877576,0.0
17394.0,0.0,0.0,289.25,287.15,292.3781417190402,0.0
17395.0,0.0,0.0,289.25,287.15,292.3681253204703,0.0
17396.0,0.0,0.0,289.25,287.15,292.3616863373563,0.0
17397.0,0.0,0.0,289.25,287.15,292.36005303762545,0.0
17398.0,0.0,0.0,289.25,287.15,292.3652946610706,0.0
17399.0,0.0020639532658708504,0.0011351933025707905,289.25,287.15,292.3709005998955,2.0653851164218593
17400.0,0.12656251368469276,0.06960938325762582,289.25,287.15,291.8594817986406,101.12523387079179
17401.0,0.38979737881902493,0.2143888034302489,289.25,287.15,290.42089350284164,246.91998098227907
17402.0,0.10398505472902113,0.05719179847911022,289.25,287.15,291.19596097780806,76.03607006805804
17403.0,0.16848719068041146,0.09266797472529656,289.25,287.15,291.3686455236162,127.98369000366739
17404.0,0.48091861269936065,0.264505236804744,289.2727513141055,287.15,290.2391448198888,294.4963127122743
17405.0,0.517389698468297,0.28456452981542146,289.3923258251439,287.15,290.03346536289536,301.48424298095574
17406.0,0.5847877806348816,0.32163306374192974,289.5782290057362,287.15,289.8725438588404,330.95472178364616
17407.0,0.4668970177298578,0.2567938150285921,289.76632364079086,287.15,290.15973139426904,279.28345275094205
17408.0,0.5213018745938964,0.28671598501887263,289.90863783319463,287.15,290.4856314653704,344.04603786972507
17409.0,0.26844178558169934,0.14764296705179253,290.0311292501882,287.15,291.6611465727979,226.11490545239835
17410.0,0.5862924600433289,0.32246089368033654,290.1525866085796,287.15,290.7953248585704,432.0232471553776
17411.0,0.6018253030758702,0.3310023903946287,290.2790903136081,287.15,290.7459160803781,440.7655726479555
17412.0,0.8039473759595546,0.4421694709797995,290.4162134786141,287.15,290.3046255387881,563.6217074634076
17413.0,0.5379638792117912,0.2958803147902401,290.5643313231883,287.15,290.9508969453545,407.6263950732004
17414.0,0.6735277470171768,0.370440299964275,290.7178576630175,287.15,290.73628896844264,502.746812284863
17415.0,0.6487054719412384,0.3567878686484981,290.8705546258418,287.15,290.8130125128538,489.7766347290081
17416.0,0.4876445320041174,0.2682050789561421,291.01621825113426,287.15,291.3178094907044,395.2203995748251
17417.0,0.35219576544001197,0.1937078240143549,291.1511728729551,287.15,292.11443559590026,329.35373372682193
17418.0,0.6679225121203154,0.3673572213906322,291.2758505889899,287.15,291.11176699921685,544.3106486719363
17419.0,0.42360604629634135,0.23298143135317892,291.39136565306706,287.15,291.86000072154746,384.3573559917992
17420.0,0.5128816318304642,0.2820849106426912,291.48259127807745,287.15,291.69133365565614,456.69579354559846
17421.0,0.4063796775921797,0.22350517980291895,291.49913876200924,287.15,292.17861926528417,391.36972279771476
17422.0,0.7008394235025668,0.3854611617154103,291.46927723402007,287.15,291.333410947851,604.3625587256757
17423.0,0.7061086631427217,0.38835981494246957,291.4458364937436,287.15,291.20141395927357,591.0087284167067
17424.0,0.28429477956740706,0.15636213974290858,291.4920634309111,287.15,292.8964458646399,301.548908789325
17425.0,0.5873965296360182,0.32306837778017006,291.65508296666945,287.15,291.8193908762668,542.5483118215435
17426.0,0.11374449364956747,0.06255948023993024,291.8627794137418,287.15,294.0314209681836,138.62974764019012
17427.0,0.34473803710691747,0.18960590225242865,292.0153027055324,287.15,293.6881142747732,398.8587318084615
17428.0,0.9218178065814031,0.507000894682733,292.00201971321826,287.15,291.1826074860797,826.7534476265865
17429.0,0.8144919535996322,0.4479706351384906,291.75593520096083,287.15,291.24033791295784,714.7060364231351
17430.0,0.4183814813685965,0.23010965111178167,291.39303242751913,287.15,292.4584100892569,419.4063803261776
17431.0,0.3269110380098102,0.17980122284040265,291.0678805415697,287.15,293.29599284767147,370.55991046190206
17432.0,0.830128448761674,0.45657044317410755,290.918506745513,287.15,291.4413910197891,760.5359113248516
17433.0,0.9169771454550547,0.5043374056175958,290.94087247200065,287.15,291.07865744893513,805.1179894193397
17434.0,0.7554482861896636,0.41549732882553475,291.01500169492914,287.15,291.4190853605692,672.1738768181184
17435.0,0.09360891700601816,0.05148495461999357,291.01293566674235,287.15,294.3177300930896,110.80363697617918
17436.0,0.07890040313951703,0.043395225066510855,290.81136905344914,287.15,295.5850449973827,123.99281151638709
17437.0,0.21336081852608427,0.11734843798008082,290.3884121531865,287.15,294.5742916679473,290.4109525887574
17438.0,0.5024614969465385,0.2763537347188023,289.87501898438285,287.15,292.6641825926498,529.2305309686111
17439.0,0.63663655816011,0.3501507844072847,289.4253260097529,287.15,291.7575828271661,587.9596744996338
17440.0,0.25585790087958266,0.14072184663736606,289.14439293542443,287.15,293.33718048689457,287.74222347191693
17441.0,0.7562539471946131,0.41593952541073964,288.94409354246693,287.15,291.5075191066518,684.3985202061946
17442.0,0.8301949959550367,0.4566062729379743,288.80254113697964,287.15,291.0452635646589,702.3418031046997
17443.0,0.676937542286876,0.3723150419328285,288.7443912709133,287.15,291.373074642072,586.5648228491424
17444.0,0.6352435335516537,0.34938340452783445,288.7925441386669,287.15,291.4467651901562,551.3505707013784
17445.0,0.40905763871907264,0.22498170189910743,288.93395395507497,287.15,292.3038543165781,400.9938644417986
17446.0,0.7206383903751007,0.3963513611647224,289.10223873124943,287.15,291.2821319773764,619.8031265340953
17447.0,0.6071837870529235,0.3339525319322025,289.2228802027117,287.15,291.53080052359826,533.6898127048314
17448.0,0.8381158851597418,0.46096418753661694,289.2499741885016,287.15,290.554674946146,636.3696459935103
17449.0,0.553066710895502,0.30418604105357,289.25,287.15,290.9640591387809,422.1053682557439
17450.0,0.5295844779760567,0.2912714069757099,289.25,287.15,290.9711866492815,400.8966827421233
17451.0,0.12064817286808747,0.0663564479863344,289.25,287.15,292.42505331764846,112.21500442019625
17452.0,0.007525803074274067,0.00413919109138007,289.25,287.15,293.55816517650885,8.466065215249467
17453.0,0.0,-3.945358907543814e-15,289.25,287.15,293.9331483082194,2.935340483591592e-11
17454.0,0.0,0.0,289.25,287.15,294.0123519160257,1.98924225636373e-16
17455.0,0.0,0.0,289.25,287.15,294.01534897228953,2.3933816077903896e-20
17456.0,0.0,0.0,289.25,287.15,293.9970938912592,1.8087833575967631e-22
17457.0,0.0,0.0,289.25,287.15,293.9728413502795,1.2157296244518043e-22
17458.0,0.0,0.0,289.25,287.15,293.94743696498256,3.9869859428348223e-23
17459.0,0.0,0.0,289.25002198551846,287.15,293.9222147168287,1.9998527524216453e-23
17460.0,0.0,0.0,289.30683935962537,287.15,293.8988170591559,1.4098393312983009e-24
17461.0,0.0,0.0,289.59060516616194,287.15,293.8899708692948,1.0972392195649609e-24
17462.0,0.0,0.0,289.9843417685401,287.15,293.9032069035848,5.098954234829621e-25
17463.0,0.0,0.0,290.2817806168805,287.15,293.9251073983977,1.491806029404135e-25
17464.0,0.0,0.0,290.3497828524532,287.15,293.93388379253514,1.9771477205520464e-27
17465.0,0.0,0.0,290.34999999999997,287.15,293.9254106490931,7.131400483906368e-30
17466.0,0.0,0.0,290.34999999999997,287.15,293.91011687550997,1.9343429476708843e-32
17467.0,0.0,0.0,290.34999999999997,287.15,293.8926040161166,9.895061131331292e-35
17468.0,0.0,0.0,290.34999999999997,287.15,293.8742064790816,2.0805179210690936e-37
17469.0,0.0,0.0,290.34999999999997,287.15,293.85539792525157,1.060726974511281e-39
17470.0,0.0,0.0,290.34999999999997,287.15,293.8363519654952,3.082647331364983e-42
17471.0,0.0,0.0,290.34999999999997,287.15,293.817158021415,3.9493535224523993e-44
17472.0,0.0,0.0,290.34999999999997,287.15,293.7978818778338,4.006864608947705e-46
17473.0,0.0,0.0,290.34999999999997,287.15,293.7785798239692,3.563770267551286e-49
17474.0,0.0,0.0,290.34999999999997,287.15,293.759289996733,4.197187942192259e-53
17475.0,0.0,0.0,290.34999999999997,287.15,293.7400222212931,4.371187944262784e-55
17476.0,0.0,0.0,290.34999999999997,287.15,293.7207653468842,2.2722381969742504e-55
17477.0,0.0,0.0,290.34999999999997,287.15,293.70152799569024,1.1258526665034783e-55
17478.0,0.0,0.0,290.34999999999997,287.15,293.68236846247817,2.507296981405229e-56
