,P_tot,T_oa,T_roo,mass_flow,speed,T_roo_1,T_roo_2,T_roo_3,T_roo_4
20356.0,0.8739606953892678,291.168342047194,290.71553299486163,0.0749999999999999,0.1,290.9288189921705,291.1545253384849,291.43234928457764,292.22568979891355
20357.0,0.8739606953892678,290.9933333333333,290.51103963969075,0.0749999999999999,0.1,290.71553299486163,290.9288189921705,291.1545253384849,291.43234928457764
20358.0,0.8739606953892678,290.8183333333333,290.31344050451884,0.0749999999999999,0.1,290.51103963969075,290.71553299486163,290.9288189921705,291.1545253384849
20359.0,0.8739606953892678,290.6433333333333,290.1225846388146,0.0749999999999999,0.1,290.31344050451884,290.51103963969075,290.71553299486163,290.9288189921705
20360.0,0.8739606953892678,290.4683333333333,289.938447304102,0.0749999999999999,0.1,290.1225846388146,290.31344050451884,290.51103963969075,290.71553299486163
20361.0,0.8739606953892678,290.2933333333333,289.7606829210648,0.0749999999999999,0.1,289.938447304102,290.1225846388146,290.31344050451884,290.51103963969075
20362.0,0.8739606953892678,290.1183333333333,289.58878865630624,0.0749999999999999,0.1,289.7606829210648,289.938447304102,290.1225846388146,290.31344050451884
20363.0,0.8739606953892678,289.94333333333327,289.4224015439917,0.0749999999999999,0.1,289.58878865630624,289.7606829210648,289.938447304102,290.1225846388146
20364.0,0.8739606953892678,289.7683333333333,289.2611040587111,0.0749999999999999,0.1,289.4224015439917,289.58878865630624,289.7606829210648,289.938447304102
20365.0,0.8739606953892678,289.59333333333325,289.1045054470011,0.0749999999999999,0.1,289.2611040587111,289.4224015439917,289.58878865630624,289.7606829210648
20366.0,0.8739606953892678,289.4183333333333,288.95223230577534,0.0749999999999999,0.1,289.1045054470011,289.2611040587111,289.4224015439917,289.58878865630624
20367.0,0.8739606953892678,289.2434458334288,288.804008683857,0.0749999999999999,0.1,288.95223230577534,289.1045054470011,289.2611040587111,289.4224015439917
20368.0,0.8739606953892678,289.1387171381295,288.66160567904825,0.0749999999999999,0.1,288.804008683857,288.95223230577534,289.1045054470011,289.2611040587111
