,Tz_1,Tz_2,Tz_3,Tz_4,time,Tz,To_1,To_2,To_3,To_4,To,T_set
17380.0,16.45512109159614,16.4549020952673,16.45067753046567,17.792701996126027,17380.0,16.455288101695658,17.046186089268076,17.148245772226517,17.25903348039685,17.359844652503057,16.965021159451453,16.455817489430217
17381.0,16.455288101695658,16.45512109159614,16.4549020952673,16.45067753046567,17381.0,16.45539571593207,16.965021159451453,17.046186089268076,17.148245772226517,17.25903348039685,16.890000000000043,16.455817489430217
17382.0,16.45539571593207,16.455288101695658,16.45512109159614,16.4549020952673,17382.0,16.45547283866415,16.890000000000043,16.965021159451453,17.046186089268076,17.148245772226517,16.814999999999998,16.455817489430217
17383.0,16.45547283866415,16.45539571593207,16.455288101695658,16.45512109159614,17383.0,16.455178072039303,16.814999999999998,16.890000000000043,16.965021159451453,17.046186089268076,16.74000000000001,16.455817489430217
17384.0,16.455178072039303,16.45547283866415,16.45539571593207,16.455288101695658,17384.0,16.43794469542638,16.74000000000001,16.814999999999998,16.890000000000043,16.965021159451453,16.664999999999964,16.455817489430217
17385.0,16.43794469542638,16.455178072039303,16.45547283866415,16.45539571593207,17385.0,16.388252293998903,16.664999999999964,16.74000000000001,16.814999999999998,16.890000000000043,16.589999999999918,16.455817489430217
17386.0,16.388252293998903,16.43794469542638,16.455178072039303,16.45547283866415,17386.0,16.320523193532665,16.589999999999918,16.664999999999964,16.74000000000001,16.814999999999998,16.515000000000043,16.455817489430217
17387.0,16.320523193532665,16.388252293998903,16.43794469542638,16.455178072039303,17387.0,16.244326292401468,16.515000000000043,16.589999999999918,16.664999999999964,16.74000000000001,16.43999524489334,16.455817489430217
17388.0,16.244326292401468,16.320523193532665,16.388252293998903,16.43794469542638,17388.0,16.255289882891248,16.43999524489334,16.515000000000043,16.589999999999918,16.664999999999964,16.360212434808716,19.89970179578404
17389.0,16.255289882891248,16.244326292401468,16.320523193532665,16.388252293998903,17389.0,16.426558505571222,16.360212434808716,16.43999524489334,16.515000000000043,16.589999999999918,16.264640605552643,30.279088795294797
17390.0,16.426558505571222,16.255289882891248,16.244326292401468,16.320523193532665,17390.0,16.535388890114064,16.264640605552643,16.360212434808716,16.43999524489334,16.515000000000043,16.172815674936317,31.22624860209754
