,P_coo,P_coo_1,P_coo_2,P_coo_3,P_coo_4,T_roo,T_roo_1,T_roo_2,T_roo_3,T_roo_4,T_set,h,T_oa
17380.0,181.4051711447262,217.53691204202863,257.66614333482806,296.6134400277131,1114.5378435562752,16.455288101695658,16.45512109159614,16.4549020952673,16.45067753046561,17.792701996126027,16.455817489430217,1,16.965021159451453
17381.0,152.54225257580325,181.4051711447262,217.53691204202863,257.66614333482806,296.6134400277131,16.45539571593207,16.455288101695658,16.45512109159614,16.4549020952673,16.45067753046561,16.455817489430217,1,16.890000000000043
17382.0,128.93276390497525,152.54225257580325,181.4051711447262,217.53691204202863,257.66614333482806,16.45547283866415,16.45539571593207,16.455288101695658,16.45512109159614,16.4549020952673,16.455817489430217,1,16.814999999999998
17383.0,110.86586496774136,128.93276390497525,152.54225257580325,181.4051711447262,217.53691204202863,16.455178072039303,16.45547283866415,16.45539571593207,16.455288101695658,16.45512109159614,16.455817489430217,1,16.74000000000001
17384.0,107.36092080333678,110.86586496774136,128.93276390497525,152.54225257580325,181.4051711447262,16.437944695426438,16.455178072039303,16.45547283866415,16.45539571593207,16.455288101695658,16.455817489430217,2,16.664999999999964
17385.0,106.73271094881083,107.36092080333678,110.86586496774136,128.93276390497525,152.54225257580325,16.388252293998903,16.437944695426438,16.455178072039303,16.45547283866415,16.45539571593207,16.455817489430217,2,16.589999999999975
17386.0,105.26227862680884,106.73271094881083,107.36092080333678,110.86586496774136,128.93276390497525,16.32052319353261,16.388252293998903,16.437944695426438,16.455178072039303,16.45547283866415,16.455817489430217,2,16.515000000000043
17387.0,103.17478535736812,105.26227862680884,106.73271094881083,107.36092080333678,110.86586496774136,16.244326292401468,16.32052319353261,16.388252293998903,16.437944695426438,16.455178072039303,16.455817489430217,2,16.43999524489334
17388.0,39.1485401699605,103.17478535736812,105.26227862680884,106.73271094881083,107.36092080333678,16.255289882891248,16.244326292401468,16.32052319353261,16.388252293998903,16.437944695426438,19.89970179578404,3,16.360212434808716
17389.0,0.0,39.1485401699605,103.17478535736812,105.26227862680884,106.73271094881083,16.426558505571165,16.255289882891248,16.244326292401468,16.32052319353261,16.388252293998903,30.279088795294797,3,16.264640605552643
17390.0,0.0,0.0,39.1485401699605,103.17478535736812,105.26227862680884,16.535388890114064,16.426558505571165,16.255289882891248,16.244326292401468,16.32052319353261,31.22624860209754,3,16.172815674936317
17391.0,0.0,0.0,0.0,39.1485401699605,103.17478535736812,16.600810427382612,16.535388890114064,16.426558505571165,16.255289882891248,16.244326292401468,31.22624860209754,3,16.112899867793885
17392.0,0.0,0.0,0.0,0.0,39.1485401699605,16.640408937436348,16.600810427382612,16.535388890114064,16.426558505571165,16.255289882891248,31.22624860209754,4,16.100031233796074
17393.0,0.0,0.0,0.0,0.0,0.0,16.665376318721314,16.640408937436348,16.600810427382612,16.535388890114064,16.426558505571165,31.22624860209754,4,16.100000000000023
17394.0,0.0,0.0,0.0,0.0,0.0,16.682081415154528,16.665376318721314,16.640408937436348,16.600810427382612,16.535388890114064,31.22624860209754,4,16.100000000000023
17395.0,0.0,0.0,0.0,0.0,0.0,16.69442836120305,16.682081415154528,16.665376318721314,16.640408937436348,16.600810427382612,31.22624860209754,4,16.100000000000023
17396.0,0.0,0.0,0.0,0.0,0.0,16.705195486098717,16.69442836120305,16.682081415154528,16.665376318721314,16.640408937436348,31.22624860209754,5,16.100000000000023
17397.0,0.0,0.0,0.0,0.0,0.0,16.717456257290678,16.705195486098717,16.69442836120305,16.682081415154528,16.665376318721314,31.022641747808848,5,16.100000000000023
17398.0,0.0,0.0,0.0,0.0,0.0,16.735455787960746,16.717456257290678,16.705195486098717,16.69442836120305,16.682081415154528,30.408080589610847,5,16.100000000000023
17399.0,0.0,0.0,0.0,0.0,0.0,16.765503134536516,16.735455787960746,16.717456257290678,16.705195486098717,16.69442836120305,30.3580265180438,5,16.100000000000023
17400.0,0.0,0.0,0.0,0.0,0.0,16.816694976651434,16.765503134536516,16.735455787960746,16.717456257290678,16.705195486098717,30.3580265180438,6,16.100000000000023
17401.0,0.0,0.0,0.0,0.0,0.0,16.899545089687308,16.816694976651434,16.765503134536516,16.735455787960746,16.717456257290678,30.3580265180438,6,16.100000000000023
17402.0,0.0,0.0,0.0,0.0,0.0,17.020294996342955,16.899545089687308,16.816694976651434,16.765503134536516,16.735455787960746,30.3580265180438,6,16.100000000000023
17403.0,0.0,0.0,0.0,0.0,0.0,17.177551404252597,17.020294996342955,16.899545089687308,16.816694976651434,16.765503134536516,30.3580265180438,6,16.100000000000023
17404.0,105.63452997228396,0.0,0.0,0.0,0.0,17.17899697266148,17.177551404252597,17.020294996342955,16.899545089687308,16.816694976651434,30.3580265180438,7,16.12275131410553
17405.0,138.9746752328801,105.63452997228396,0.0,0.0,0.0,17.088351181201347,17.17899697266148,17.177551404252597,17.020294996342955,16.899545089687308,30.3580265180438,7,16.24232582514395
17406.0,141.53346918051506,138.9746752328801,105.63452997228396,0.0,0.0,17.120466625385973,17.088351181201347,17.17899697266148,17.177551404252597,17.020294996342955,30.369695523596988,7,16.428229005736227
17407.0,142.06704754857907,141.53346918051506,138.9746752328801,105.63452997228396,0.0,17.2328254097568,17.120466625385973,17.088351181201347,17.17899697266148,17.177551404252597,30.405547982858025,7,16.61632364079088
