,P_coo,P_fan,P_hea,P_pum,P_tot,T_oa,T_roo,T_set
17376.0,1114.5378435562752,502.7414554581434,0.0,5.60152564407184,1622.8808246584906,290.509844652503,290.942701996126,289.6058174894302
17377.0,296.6134400277131,21.199942702436815,0.0,5.60152564407184,323.41490837422185,290.4090334803968,289.6006775304656,289.6058174894302
17378.0,257.66614333482806,10.838158821243903,0.0,5.60152564407184,274.1058278001438,290.29824577222655,289.6049020952673,289.6058174894302
17379.0,217.53691204202863,5.938508881797133,0.0,5.60152564407184,229.0769465678976,290.19618608926805,289.6051210915961,289.6058174894302
17380.0,181.4051711447262,3.5041570286056345,0.0,5.60152564407184,190.51085381740367,290.11502115945143,289.60528810169563,289.6058174894302
17381.0,152.54225257580325,2.1885003838061503,0.0,5.60152564407184,160.33227860368126,290.03999999999996,289.60539571593205,289.6058174894302
17382.0,128.93276390497525,1.422645167325432,0.0,5.60152564407184,135.95693471637253,289.965,289.6054728386641,289.6058174894302
17383.0,110.86586496774135,0.9694979768824442,0.0,5.60152564407184,117.4368885886956,289.89,289.6051780720393,289.6058174894302
17384.0,107.36092080333678,0.8739606953892678,0.0,5.60152564407184,113.83640714279787,289.81499999999994,289.5879446954264,289.6058174894302
17385.0,106.73271094881083,0.8739606953892678,0.0,5.60152564407184,113.20819728827195,289.73999999999995,289.5382522939989,289.6058174894302
17386.0,105.26227862680884,0.8739606953892678,0.0,5.60152564407184,111.73776496626995,289.66499999999996,289.4705231935326,289.6058174894302
17387.0,103.17478535736811,0.8739606953892678,0.0,5.60152564407184,109.65027169682926,289.5899952448933,289.39432629240144,289.6058174894302
17388.0,39.1485401699605,0.3368455440049435,0.0,2.1589631693844145,41.644348883349856,289.5102124348087,289.4052898828912,293.049701795784
17389.0,0.0,0.0,0.0,0.0,0.0,289.4146406055526,289.57655850557114,303.4290887952948
17390.0,0.0,0.0,0.0,0.0,0.0,289.3228156749363,289.68538889011404,304.3762486020975
17391.0,0.0,0.0,0.0,0.0,0.0,289.26289986779386,289.7508104273826,304.3762486020975
17392.0,0.0,0.0,0.0,0.0,0.0,289.25003123379605,289.7904089374363,304.3762486020975
17393.0,0.0,0.0,0.0,0.0,0.0,289.25,289.81537631872135,304.3762486020975
17394.0,0.0,0.0,0.0,0.0,0.0,289.25,289.8320814151545,304.3762486020975
17395.0,0.0,0.0,0.0,0.0,0.0,289.25,289.84442836120303,304.3762486020975
17396.0,0.0,0.0,0.0,0.0,0.0,289.25,289.8551954860987,304.3762486020975
17397.0,0.0,0.0,0.0,0.0,0.0,289.25,289.86745625729066,304.17264174780877
17398.0,0.0,0.0,0.0,0.0,0.0,289.25,289.8854557879607,303.5580805896108
17399.0,0.0,0.0,0.0,0.0,0.0,289.25,289.91550313453655,303.5080265180438
17400.0,0.0,0.0,0.0,0.0,0.0,289.25,289.9666949766514,303.5080265180438
17401.0,0.0,0.0,0.0,0.0,0.0,289.25,290.0495450896873,303.5080265180438
