,T_oa,T_roo,mass_flow
23146,289.7666667,287.9591058,0.075
23147,290.0166741,287.9700811,0.075
23148,290.2746332,287.9905038,0.075
23149,290.5589415,288.0202397,0.075
23150,290.836963,288.05823,0.075
23151,291.0619423,288.1005436,0.075
23152,291.1905016,288.141663,0.075
23153,291.2208208,288.1765959,0.075
23154,291.1948529,288.2041085,0.075
23155,291.1595172,288.2261291,0.075
23156,291.1500046,288.2461359,0.075
23157,291.15,288.2658063,0.075
23158,291.15,288.2849328,0.075
23159,291.15,288.3056634,0.075
23160,291.15,287.4551073,0.472445744
23161,291.15,287.4191303,0.270626782
23162,291.15,287.7578955,0.153620481
23163,291.1500119,287.8208284,0.200253292
23164,291.1886605,288.1782199,0.095190075
23165,291.3919869,288.3382192,0.235019114
23166,291.7050858,288.1480819,0.400882505
23167,292.015658,288.278778,0.379818135
23168,292.1937528,288.528857,0.502387485
23169,292.1505531,289.0991533,0.379402062
23170,292.0342111,289.7487242,0.321000079
23171,292.0447575,289.5171677,0.562017236
23172,292.4321389,290.116315,0.412684045
23173,293.4080761,290.9577866,0.354698755
23174,294.658705,292.0039902,0.271464183
23175,295.7470701,292.0585499,0.402507791
23176,296.3828789,291.8664668,0.524595013
23177,296.8833333,294.1426621,0.237285927
23178,297.3833333,293.5975305,0.456701203
23179,297.8833333,292.8892283,0.603635381
23180,298.3833333,293.5829551,0.482284774
23181,298.8833333,293.7112986,0.527572095
23182,299.3833333,295.0257418,0.371938513
23183,299.8833408,295.2397372,0.424482183
23184,300.3912999,294.8536616,0.477864165
23185,300.9256082,298.0942144,0.149125612
23186,301.4536297,296.3290709,0.463988424
23187,301.9286089,295.8227585,0.45970786
23188,302.3071683,294.585625,0.652167606
23189,302.5874875,295.3702319,0.480175109
23190,302.8115196,295.5202747,0.490020529
23191,303.0261839,299.308268,0.127545364
23192,303.2666713,295.8590327,0.592853036
23193,303.5166667,295.5065698,0.479259635
23194,303.7666667,296.7479462,0.357273798
23195,304.0166667,294.6516794,0.650790916
23196,304.10337,295.6700596,0.413672822
23197,303.5036324,296.2819478,0.336564993
23198,302.4713082,296.5752791,0.289721001
23199,301.5057135,294.1537755,0.569201836
23200,301.0005949,294.8391875,0.327379053
23201,300.8016585,295.1470216,0.306924372
23202,300.6610858,296.9973657,0.108830833
23203,300.3911746,294.7340517,0.403699184
23204,299.8381266,292.7189705,0.594677842
23205,299.0598543,291.7109274,0.698524975
23206,298.2191386,291.4313712,0.632237177
23207,297.4722036,291.6781689,0.476337445
23208,296.9168396,293.3880931,0.111357512
23209,296.4166667,292.9826411,0.214472764
23210,295.9166667,291.5640827,0.35970871
23211,295.4166667,290.6252127,0.427515194
23212,294.9166667,291.430764,0.148830152
23213,294.4166667,292.2107459,0.085197024
23214,293.9166667,292.3082959,0.075
23215,293.4166667,292.1137988,0.075
23216,292.9166667,291.8851541,0.075
23217,292.4166667,291.6491814,0.075
23218,291.9166667,291.4113138,0.075
23219,291.4167881,291.1732325,0.075
23220,291.0553079,290.9383458,0.075
23221,291.2607593,290.7309116,0.075
23222,291.7787437,290.564952,0.075
23223,292.1407634,290.4271392,0.075
23224,292.0331299,290.2890987,0.075
23225,291.7833333,290.1419205,0.075
23226,291.5333333,289.9936438,0.075
23227,291.2833333,289.8458093,0.075
23228,291.0333333,289.6985339,0.075
23229,290.7833333,289.5517624,0.075
23230,290.5333333,289.4054251,0.075
23231,290.2833333,289.2596627,0.075
23232,290.15,289.1822288,0.075
