env_step,rew,time
2688,-2599.4229,380.6021
5376,-2559.9829,757.7421
8064,-2443.9644,1134.7407
10752,-2497.9553,1512.8306
13440,-2573.4753,1891.7254
16128,-2422.1123,2272.6021
18816,-2292.7236,2650.0427
21504,-2265.2024,3028.8301
24192,-2156.8125,3398.081
26880,-1999.9093,3768.1499
29568,-1928.8242,4141.3261
32256,-1897.2537,4523.7123
34944,-1849.3218,4906.0206
37632,-1764.349,5269.876
40320,-1739.7416,5634.4999
43008,-1693.3184,6000.9293
45696,-1589.4106,6367.2042
48384,-1624.3046,6738.0995
51072,-1567.3396,7111.1269
53760,-1526.9784,7487.9071
56448,-1466.6536,7869.9201
59136,-1499.0402,8252.6963
61824,-1366.6877,8635.1152
64512,-1379.1141,9017.9799
67200,-1385.4391,9397.3228
69888,-1333.8737,9778.2536
72576,-1276.5007,10138.5294
75264,-1289.3855,10500.4174
77952,-1301.2085,10863.5913
80640,-1259.7993,11230.5119
83328,-1266.9452,11601.4668
86016,-1258.1903,11971.3483
88704,-1197.5175,12344.3104
91392,-1176.569,12722.0868
94080,-1152.7474,13099.4734
96768,-1181.1711,13479.2152
99456,-1158.0459,13855.9655
102144,-1104.0175,14230.3652
104832,-1104.7693,14628.8173
107520,-1126.6598,14984.0029
110208,-1150.7505,15341.1319
112896,-1152.2198,15698.0828
115584,-1115.7327,16057.5076
118272,-1073.7042,16418.6603
120960,-1058.3842,16786.1572
123648,-1114.5714,17153.8487
126336,-1040.9926,17526.9033
129024,-1006.0088,17909.5722
131712,-1094.9951,18293.969
134400,-976.5052,18675.5294
137088,-940.3358,19057.7779
139776,-955.5551,19442.573
142464,-934.8419,19798.1201
145152,-960.0373,20153.2338
147840,-990.6662,20513.1271
150528,-940.97,20876.3872
153216,-894.8829,21235.212
155904,-951.3507,21603.809
158592,-932.0997,21971.2042
161280,-941.7999,22344.335
163968,-847.2332,22718.2136
166656,-873.1823,23097.7733
169344,-893.2557,23477.5865
172032,-835.2516,23849.8166
174720,-858.5346,24228.4552
177408,-856.795,24598.1931
180096,-913.7056,24976.7787
182784,-959.4244,25353.5119
185472,-905.0544,25737.8621
188160,-946.6342,26114.0748
190848,-881.5075,26497.8193
193536,-858.0336,26868.8854
196224,-806.5789,27246.8256
198912,-818.7877,27627.2499
201600,-784.3742,28001.4757
204288,-804.8123,28380.6195
206976,-829.1458,28824.8103
209664,-808.3839,29213.0496
212352,-773.6887,29604.719
215040,-785.531,29974.5326
217728,-805.2388,30339.2025
220416,-781.0674,30710.979
223104,-758.4861,31087.1467
225792,-754.1219,31469.7486
228480,-755.4638,31839.9673
231168,-744.9174,32229.6241
233856,-765.1541,32633.9855
236544,-756.6663,33070.6046
239232,-762.6457,33522.7121
241920,-766.2018,34004.8251
244608,-775.0845,34456.694
247296,-806.4937,34878.6968
249984,-779.1644,35289.6259
252672,-769.7006,35721.8415
255360,-735.6877,36153.7767
258048,-734.8541,36572.3639
260736,-723.9102,36982.9847
263424,-715.5042,37406.7585
266112,-1439.5319,37827.8876
268800,-732.5848,38241.6511
271488,-735.2672,38661.2151
274176,-737.8869,39071.2644
276864,-739.6824,39509.0899
279552,-753.4538,39904.0237
282240,-734.2035,40278.0941
284928,-726.8877,40672.7388
287616,-727.7297,41029.5254
290304,-707.3425,41401.4015
292992,-719.1278,41776.6412
295680,-710.4783,42153.6801
298368,-691.2706,42534.3394
301056,-725.1671,42916.3652
303744,-702.3989,43310.9833
306432,-730.0133,43706.5102
309120,-704.8088,44074.9928
311808,-703.6628,44446.7632
314496,-688.4695,44822.6125
317184,-691.9047,45189.3394
319872,-756.9163,45564.0876
322560,-763.4629,45946.4008
325248,-716.5653,46321.9757
327936,-698.8282,46710.439
330624,-709.2751,47097.5082
333312,-783.1725,47485.0828
336000,-791.8328,47893.1717
338688,-773.0174,48293.2371
341376,-753.4107,48706.0942
344064,-697.6072,49095.6296
346752,-710.7383,49500.3981
349440,-677.0233,49876.1459
352128,-717.1614,50258.3205
354816,-698.476,50668.2956
357504,-694.1802,51067.7294
360192,-693.5085,51477.8046
362880,-693.9749,51888.4639
